 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
124	242	318	242	152	1936	8	0	8	8	8	676.855	578.934	5.554	3.634	0.835	3.669	676.855	578.934	5.554	673	575	3	8	10	6
125	459	544	459	286	22491	49	0	49	49	49	677.989	595.318	6.752	5.335	2.086	5.006	677.989	595.318	6.752	674	586	3	8	18	8
126	456	474	456	247	4104	9	0	9	9	9	384.833	214.226	6.070	4.643	1.262	4.658	384.833	214.226	6.070	379	209	4	13	12	6
127	163	250	163	110	8639	53	0	53	53	53	288.681	225.859	7.055	3.177	0.752	3.151	288.681	225.859	7.055	285	223	4	9	7	7
128	1023	846	1023	507	129921	127	0	127	127	127	331.123	260.621	7.872	6.405	1.833	6.293	331.125	260.621	7.872	325	255	4	16	18	8
129	1322	944	1322	553	175826	133	0	133	133	133	526.340	326.172	7.994	6.648	1.597	6.900	526.338	326.172	7.994	518	319	4	18	16	9
130	665	608	665	345	45885	69	0	69	69	69	582.388	330.340	7.017	5.519	1.724	5.242	582.386	330.340	7.017	574	327	4	18	9	7
131	334	474	334	222	23380	70	0	70	70	70	558.826	336.554	7.117	4.386	1.366	4.402	558.826	336.554	7.117	553	329	4	14	14	6
132	390	480	390	237	54600	140	0	140	140	140	451.887	383.069	7.882	4.597	1.370	4.464	451.887	383.069	7.882	446	379	4	14	11	9
133	508	688	508	332	16256	32	0	32	32	32	565.583	385.217	6.583	5.923	2.515	5.467	565.583	385.217	6.583	557	375	4	19	22	6
134	1959	1466	1959	827	378087	193	0	193	193	193	459.634	406.985	9.186	8.232	2.626	8.125	459.635	406.985	9.186	450	395	4	19	27	10
135	1255	1100	1255	622	181975	145	0	145	145	145	561.283	407.029	7.516	7.563	2.788	7.419	561.281	407.030	7.516	552	396	4	22	24	9
136	1772	1580	1772	842	345540	195	0	195	195	195	523.283	413.964	8.598	8.503	3.190	8.134	523.284	413.965	8.598	504	402	4	32	24	9
137	2575	1708	2575	1036	504700	196	0	196	196	196	439.642	426.280	9.121	9.228	2.922	9.283	439.636	426.280	9.121	427	417	4	25	23	10
