"","volumelist","X.2","X1","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","symbiontvolume","symbiontcorrection","correctedsymbiontvolume","symaporatio","volumelist","X1","Volume..pixel.3.","symvolrat","totalpoints","overlappoints","halfoverlappoints","pointratio","nonoverlappoints","overlapexpected","pointspervolume","observed_expected","symvolvox$Nb.of.obj..voxels","symvolrat2","totalpointnuc","nonoverlapnuc","halfnonoverlapnuc","overlapnuc","overlapnucexp","nucpervolume","nuc_observed_expected","nonoverlapexpected","chisquare","nonoverlapnucexpected","chisquarenuc","symvolrat3","halfchisquarenuc"
"45","31 tentacle base 3.txt",45,45,1,308962.688,54728.121,1876890,268647,83206135808,44331.918,6776.072,45722,10732,58935,575.521,410.534,8,64.272,28.96,61.095,579.351,410.604,7.997,269,198,1,543,431,15,753837,5991,747846,2.42050587027518,"31 tentacle base 3.txt",45,305772,0.989672901861858,165,76,24,0.460606060606061,89,65.7441778687083,0.000534045068898417,10.2558221312917,305772,0.162914182504036,1251,637,850,614,498.460403113661,0.00404903261328436,115.539596886339,99.2558221312917,2.65957115917118,752.539596886339,44.5203925338306,0.398449562840657,44.5203925338306
"46","31 tentacle middle 1.txt",46,46,1,478589.375,76984,2907340,369760,136218722304,46853.387,5180.794,48452,13133,59145,479.667,759.209,9,92.999,46.047,91.933,476.029,759.474,9.036,82,496,1,838,508,17,1560540,18036,1542504,3.22302182324879,"31 tentacle middle 1.txt",46,596188,1.24571925567717,176,127,78,0.721590909090909,49,93.3776936993953,0.000367747403502219,33.6223063006047,596188,0.205063047321607,1838,453,886,1385,975.160233065276,0.00384045299793795,409.839766934724,82.6223063006047,25.7885670745399,862.839766934724,366.916771512684,0.530555077837473,366.916771512684
"47","31 tentacle middle 2.txt",47,47,1,545123.125,88964.336,3311520,443998,138970529792,41965.781,7387.065,42816,10959,59458,718.669,551.552,8.515,99.72,48.591,97.996,717.749,547.751,8.495,420,164,1,560,825,16,1618064,15929,1602135,2.93903326886013,"31 tentacle middle 2.txt",47,663758,1.2176295034264,289,212,134,0.73356401384083,77,139.820087150312,0.000530155457998594,72.1799128496883,663758,0.200439073295647,2003,648,1051,1355,969.064479453544,0.00367439924695912,385.935520546456,149.179912849688,72.1856101776974,1033.93552054646,297.75860575286,0.483806529931874,297.75860575286
"48","31 tentacle middle 3.txt",48,48,1,566997.062,93788.453,3444400,460006,148176404480,43019.512,6903.604,44297,10728,59330,615.746,522.944,8.5,105.304,54.261,101.419,620.142,520.946,8.494,240,117,1,700,855,16,1696313,16059,1680254,2.96342629020536,"31 tentacle middle 3.txt",48,654653,1.15459681164979,231,140,80,0.606060606060606,91,112.686875508071,0.000407409518464136,27.3131244919289,654653,0.190063000812914,2093,878,1272,1215,1021.01138717919,0.00369137715214475,193.988612820811,118.313124491929,12.9255337912345,1071.98861282081,71.9616222967557,0.487821971896412,71.9616222967557
"49","31 tentacle tip 1.txt",49,49,1,398224.062,67643.93,2419136,326052,112992059392,46707.609,5683.199,48565,14089,58913,618.994,619.594,8.538,85.599,41.486,83.843,621.157,622.969,8.511,330,289,1,535,697,16,860540,6526,854014,2.14455649844685,"31 tentacle tip 1.txt",49,351565,0.882832137853086,147,90,58,0.612244897959184,57,51.8945846781661,0.000369138919586431,38.1054153218339,351565,0.145326678615836,1491,698,954,793,526.359358878542,0.0037441233272338,266.640641121458,95.1054153218339,43.2477429142487,964.640641121458,208.776892343993,0.353024385565756,208.776892343993
"50","31 tentacle tip 2.txt",50,50,1,411446.875,76723.484,2499462,381426,114229026816,45701.445,7148.916,48666,11275,60361,580.294,386.699,7.5,98.12,45.481,96.5,598.634,396.414,7.517,204,57,1,810,551,14,899559,10131,889428,2.16170799693156,"31 tentacle tip 2.txt",50,363955,0.884573494451744,179,86,54,0.480446927374302,93,63.6967523411038,0.000435050090002506,22.3032476588962,363955,0.145613335989905,1819,1014,1249,805,647.287108985854,0.00442098387550033,157.712891014146,115.303247658896,12.1235669468502,1171.71289101415,59.6552841596658,0.355847778441921,59.6552841596658
"51","31 tentacle tip 3.txt",51,51,1,581571.188,101309.172,3532935,499528,159449202688,45132.223,6343.095,46863,11379,59129,423.785,586.878,8,120.058,61.565,119.727,435.416,598.451,7.998,57,117,1,807,889,15,1528138,29946,1498192,2.57611111229946,"31 tentacle tip 3.txt",51,620448,1.06684789893684,231,144,93,0.623376623376623,87,97.9588789490891,0.000397199869536866,46.0411210509109,620448,0.175618289042963,2253,1156,1462,1097,955.417118061895,0.00387398833795047,141.582881938105,133.041121050911,37.5728429440164,1297.58288193811,36.4296133936908,0.424064411035018,36.4296133936908
"52","32 tentacle base 1.txt",52,52,1,1257681.625,206524.703,7640178,1124166,366488649728,47968.602,5892.384,50101,12747,60215,558.238,471.841,7.571,122.323,47.682,124.32,555.49,470.793,7.55,60,112,1,962,734,14,1634675,8712,1625963,1.2928255988474,"32 tentacle base 1.txt",52,730462,0.580800407257282,315,64,17,0.203174603174603,251,67.037488524482,0.000250460842981625,-3.03748852448201,730462,0.0956079819082749,5308,3783,4315,1525,1129.63488599349,0.00422046398268719,395.365114006506,247.962511475518,0.174838102082443,4178.36511400651,175.785529957038,0.212817423887245,175.785529957038
"53","32 tentacle base 2.txt",53,53,1,575210.5,98055.117,3494295,491750,161136459776,46114.156,6164.308,47907,13570,59551,329.263,402.919,8,93.431,44.253,89.762,331.802,405.158,8.033,4,2,1,781,723,15,968416,5769,962647,1.67355602861909,"32 tentacle base 2.txt",53,449813,0.781997199286174,210,67,23,0.319047619047619,143,57.8531205865561,0.000365083738909495,9.14687941344391,449813,0.128727826356962,2421,1485,1837,936,666.963833047868,0.00420889396142803,269.036166952132,152.146879413444,1.99606814167819,1754.03616695213,149.787404253289,0.275491050412172,149.787404253289
"54","32 tentacle base 3.txt",54,54,1,914348.75,138282.75,5554496,724496,254079926272,45743.109,5873.035,47898,12515,59387,549.154,668.751,8.637,98.367,38.657,99.905,558.076,674.065,8.617,198,216,1,680,806,16,1481385,6864,1474521,1.61264615935659,"32 tentacle base 3.txt",54,645641,0.70612116000596,225,76,36,0.337777777777778,149,59.729492108735,0.000246076784159217,16.270507891265,645641,0.116237548825312,3492,2150,2638,1342,927.001717527567,0.00381911169015105,414.998282472433,165.270507891265,6.03393398219171,2564.99828247243,252.929343195224,0.265464409372155,252.929343195224
"55","32 tentacle middle 1.txt",55,55,1,1087285.625,171038.578,6605055,917984,297198714880,44995.645,6569.544,47013,11760,60853,472.682,414.391,8.149,123.16,55.436,119.977,471.384,421.771,8.104,2,144,1,1007,638,15,1932629,11109,1921520,1.76726331684924,"32 tentacle middle 1.txt",55,870807,0.80089994751839,367,146,55,0.397820163487738,221,106.766384231471,0.000337537801992002,39.2336157685288,870807,0.131839477491103,4325,2511,3177,1814,1258.21420109295,0.00397779562293027,555.785798907049,260.233615768529,20.3322200943595,3066.78579890705,346.228629898027,0.290916578287387,346.228629898027
"56","32 tentacle middle 2.txt",56,56,1,769382.938,123867.359,4673856,617216,213385199616,45655.066,6160.988,47731,10900,59334,614.974,376.095,8.549,121.357,62.839,117.682,616.948,378.521,8.559,30,5,1,986,856,16,1324961,8942,1316019,1.71048633261997,"32 tentacle middle 2.txt",56,611568,0.794881157086434,275,120,53,0.436363636363636,155,77.4318303773159,0.000357429293551607,42.5681696226841,611568,0.130848703939531,3008,1729,2200,1279,846.963439181695,0.00390962660001176,432.036560818305,197.568169622684,32.5736289485835,2161.03656081831,306.755285461826,0.281570292281149,306.755285461826
"57","32 tentacle middle 3.txt",57,57,1,873064.812,150284.594,5303704,790432,235956535296,44489.008,6529.102,45930,12372,59496,494.363,466.301,7.637,122.549,58.836,119.011,501.065,464.038,7.58,116,12,1,825,972,14,2062089,11627,2050462,2.34857936297174,"32 tentacle middle 3.txt",57,928931,1.06398859194889,284,138,69,0.485915492957746,146,109.797079173348,0.000325290855955377,28.2029208266525,928931,0.175147594963822,3765,1884,2551,1881,1455.58451791427,0.00431239462208448,425.415482085727,174.202920826652,11.810282796056,2309.41548208573,202.69921280679,0.38660943370897,202.69921280679
"58","32 tentacle tip 1.txt",58,58,1,593756.75,101652.742,3606960,511907,170518724608,47274.914,4956.265,48783,10611,60072,470.114,533.688,8,116.767,59.688,115.576,474.486,537.042,8.015,1,232,1,999,592,15,834488,9404,825084,1.38959936034411,"32 tentacle tip 1.txt",58,358297,0.603440718779197,218,78,29,0.357798165137615,140,49.8670104464702,0.000367153720778753,28.1329895535298,358297,0.0993348969769557,2425,1602,1905,823,554.713304278395,0.0040841640958187,268.286695721605,168.13298955353,20.5788923569024,1870.2866957216,168.241545629587,0.228747754341606,168.241545629587
"59","32 tentacle tip 2.txt",59,59,1,601068.25,99660.281,3651376,485220,171040620544,46842.785,5630.736,48651,13890,60544,657.928,457.866,8.5,111.498,57.823,108.162,652.449,451.556,8.52,216,62,1,804,864,16,1057918,10761,1047157,1.74215989615156,"32 tentacle tip 2.txt",59,451081,0.750465525337597,222,112,67,0.504504504504504,110,63.6660957403456,0.000369342416605768,48.3339042596544,451081,0.123537263760292,2245,1214,1579,1031,643.830562779621,0.00373501678054031,387.169437220379,158.333904259654,51.4487219142883,1601.16943722038,326.444682758068,0.286784215046602,326.444682758068
"60","32 tentacle tip 3.txt",60,60,1,653442.562,113111.758,3969540,559159,185709985792,46783.754,5012.532,47969,12319,60356,532.696,597.532,8.016,125.658,63.858,123.503,527.904,603.063,8.001,2,122,1,1003,854,15,1872869,23915,1848954,2.82955856799545,"32 tentacle tip 3.txt",60,762130,1.16633051521367,211,148,103,0.701421800947867,63,98.2807312686105,0.000322905198207765,49.7192687313895,762130,0.191994538409992,2544,833,1310,1711,1184.95820069832,0.00389322665516851,526.041799301682,112.71926873139,47.0831356465501,1359.04179930168,437.141231012243,0.465785456249339,437.141231012243
"61","39 tentacle base 1.txt",61,61,1,442143.125,72120.016,2685936,360536,120177917952,44743.402,6498.406,46446,12396,60555,680.454,411.214,8.562,82.412,38.642,80.147,685.124,411.219,8.518,266,241,1,747,385,16,842094,2628,839466,1.89862954444898,"39 tentacle base 1.txt",61,355150,0.803246686239891,262,86,33,0.32824427480916,176,81.8858275104098,0.000592568300140367,4.11417248959023,355150,0.13222578646699,1977,1231,1574,746,617.894202244581,0.00447140278388361,128.105797755419,180.11417248959,0.300683539334811,1359.10579775542,38.6346386446072,0.31254132637561,38.6346386446072
"62","39 tentacle base 2.txt",62,62,1,516586.594,79875.672,3138166,398191,135783849984,43268.535,7061.343,44502,10487,58547,638.898,548.312,8.999,90.88,44.653,88.025,640.04,547.827,9.009,496,125,1,290,868,17,1092447,6306,1086141,2.10253423649627,"39 tentacle base 2.txt",62,465867,0.901817827661242,324,122,46,0.376543209876543,202,112.138645310669,0.000627193976311356,9.86135468933128,465867,0.148451993935311,2073,1144,1499,929,717.479665830297,0.00401287997806618,211.520334169703,211.861354689331,1.3262063993959,1355.5203341697,95.3647590745513,0.3461069299712,95.3647590745513
"63","39 tentacle base 3.txt",63,63,1,450239.188,68570.258,2735118,327518,119208960000,43584.578,7000.389,45151,10655,59277,262.943,735.646,9.48,75.254,35.243,70.819,263.465,735.888,9.511,0,410,1,536,606,18,894453,4503,889950,1.97661603814015,"39 tentacle base 3.txt",63,368945,0.819442220564772,244,97,29,0.397540983606557,147,79.3924795932022,0.000541934168555759,17.6075204067978,368945,0.13489180357118,1660,939,1230,721,540.129164445556,0.00368692917951869,180.870835554444,164.607520406798,5.78838205107723,1119.87083555444,89.7800029610684,0.325379014726238,89.7800029610684
"64","39 tentacle middle 1.txt",64,64,1,535333.188,89704.992,3252048,435836,146562826240,45067.855,7261.549,47254,11526,60912,530.47,322.865,8.522,105.463,54.384,102.815,528.584,321.038,8.52,110,20,1,882,677,16,918044,9559,908485,1.69704591526278,"39 tentacle middle 1.txt",64,392771,0.733694470666743,268,85,22,0.317164179104478,183,74.8678924788318,0.000500622800916277,10.1321075211682,392771,0.120776507603824,2287,1476,1805,811,638.891306339882,0.00427210576752062,172.108693660118,193.132107521168,1.90276119608362,1648.10869366012,64.3367253676579,0.279357807756835,64.3367253676579
"65","39 tentacle middle 2.txt",65,65,1,548670.75,87632.898,3333071,428411,145829199872,43752.203,7414.874,45164,10780,60060,343.995,503.051,8.975,115.631,60.028,114.486,344.308,506.223,9.004,156,2,1,452,1016,17,1050754,12305,1038449,1.89266331401847,"39 tentacle middle 2.txt",65,449873,0.819932536954084,264,108,46,0.409090909090909,156,82.2516340035961,0.000481162883204545,25.7483659964039,449873,0.134972522337508,2072,1204,1557,868,645.550703240345,0.00377639959848415,222.449296759655,181.748365996404,11.7081485739793,1426.44929675965,111.343566303406,0.311559219710591,111.343566303406
"66","39 tentacle middle 3.txt",66,66,1,450393.25,71670.391,2736054,335014,119084359680,43524.125,8007.164,45102,11160,59740,676.751,266.013,9.48,90.689,43.596,90.096,677.359,267.177,9.493,244,88,1,777,520,18,948940,7879,941061,2.08942074509332,"39 tentacle middle 3.txt",66,386882,0.85898711847924,186,79,35,0.424731182795699,107,63.9743755057466,0.000412972441305459,15.0256244942534,386882,0.141401448948011,1619,809,1137,810,556.852225504321,0.0035946364649115,253.147774495679,122.025624494253,5.37923989214345,1062.14777449568,175.416391561021,0.34394825540724,175.416391561021
"67","39 tentacle tip 1.txt",67,67,1,462455.188,82374.539,2809328,379894,125412704256,44641.531,8115.628,47521,10390,60264,502.054,484.838,8.562,121.09,64.107,122.396,508.157,489.378,8.496,18,84,1,959,773,16,788210,8397,779813,1.68624554386013,"39 tentacle tip 1.txt",67,314592,0.680264830329896,218,89,45,0.408256880733945,129,60.5124193401411,0.000471397025391355,28.4875806598589,314592,0.111981228251027,1831,1176,1451,655,508.24880647614,0.00395930253895216,146.75119352386,157.487580659859,18.5642240474378,1322.75119352386,58.6539276120304,0.277579905230005,58.6539276120304
"68","39 tentacle tip 3.txt",68,68,1,512827.781,80590.156,3115332,382212,137173721088,44031.816,7987.346,46629,11838,60546,532.786,621.358,9.5,108.217,45.223,105.385,539.467,624.1,9.48,221,216,1,787,624,18,787797,11196,776601,1.51435048718626,"39 tentacle tip 3.txt",68,326639,0.636937022723424,163,55,27,0.337423312883436,108,40.6332175832303,0.000317845495191689,14.3667824167697,326639,0.104848857200452,1773,1114,1373,659,441.979722546425,0.00345730099984579,217.020277453575,122.36678241677,6.76646561182325,1331.02027745357,141.945734894452,0.249283543455401,141.945734894452
"69","40 tentacle base 1.txt",69,69,1,400456.906,81388.977,2432700,424850,104938250240,43136.535,6601.259,43652,12303,58995,522.28,728.636,6.5,87.104,40.704,84.285,518.82,727.034,6.499,152,489,1,788,428,12,1258276,6252,1252024,3.12648872136069,"40 tentacle base 1.txt",69,540680,1.35015776204394,170,103,60,0.605882352941176,67,87.4929419986024,0.000424515091269271,15.5070580013976,540680,0.222255107493731,1777,567,964,1210,914.558576067744,0.00443743127756174,295.441423932256,82.5070580013976,5.66296167232918,862.441423932256,196.647789486215,0.514664364697661,196.647789486215
"70","40 tentacle base 2.txt",70,70,1,421322.719,85378.75,2559456,443406,119546658816,46707.84,6499.034,49251,8982,58489,635.064,580.422,6.5,83.515,36.704,81.242,640.074,582.419,6.527,280,342,1,724,539,12,638959,1078,637881,1.5139962105865,"40 tentacle base 2.txt",70,292646,0.694588700781645,139,39,11,0.280575539568345,100,34.6423064119875,0.000329913374550305,4.35769358801245,292646,0.114339140817424,1926,1317,1550,609,480.007785248115,0.00457131769340926,128.992214751885,104.357693588012,0.730124477298812,1445.99221475188,46.1709750120328,0.249225225985522,46.1709750120328
"71","40 tentacle base 3.txt",71,71,1,393254.188,69333.82,2388945,340444,99848732672,41796.164,6239.417,42041,9017,58829,290.805,655.311,8.065,78.704,39.886,72.011,288.095,661.546,7.999,72,238,1,426,780,15,1075435,11812,1063623,2.70467049673226,"40 tentacle base 3.txt",71,460280,1.17043890197553,155,103,49,0.664516129032258,52,69.0101969697921,0.000394147105688293,33.9898030302079,460280,0.19267082331322,1531,546,874,985,681.642655230656,0.00389315625037921,303.357344769344,85.9898030302079,30.1764934518439,849.357344769344,243.353173018705,0.445227077224465,243.353173018705
"72","40 tentacle middle 1.txt",72,72,1,443845.562,86290.812,2696278,435888,113048313856,41927.543,7047.803,42231,11994,59637,712.994,502.266,6.94,94.305,42.829,91.648,713.518,499.458,6.996,409,85,1,537,849,13,1334831,10386,1324445,2.98402217661467,"40 tentacle middle 1.txt",72,578093,1.30246430176089,195,136,88,0.697435897435897,59,95.7864044434587,0.000439342006983952,40.2135955565413,578093,0.214404078511192,1843,508,904,1335,905.304325073305,0.00415234522498166,429.695674926695,99.2135955565413,33.1822142017916,937.695674926695,400.858218317589,0.491212330479275,400.858218317589
"73","40 tentacle middle 2.txt",73,73,1,318680.031,63684.391,1935921,315401,88562343936,45746.879,7033.14,47929,7680,59017,650.754,454.715,7,74.087,33.311,72.172,652.913,452.534,7.001,449,84,1,380,736,13,510139,828,509311,1.59818925083511,"40 tentacle middle 2.txt",73,233446,0.732540408219052,108,37,11,0.342592592592593,71,28.4131366930779,0.000338897921093776,8.58686330692213,233446,0.12058653219837,1438,873,1076,565,378.315653376352,0.00451236306048935,186.684346623648,79.5868633069221,3.52153723865539,1059.68434662365,125.009743466555,0.26308459900998,125.009743466555
"74","40 tentacle middle 3.txt",74,74,1,348971.344,60936.086,2119935,302132,87953285120,41488.672,6985.931,41798,7825,57982,802.923,652.732,8.006,69.687,29.167,69.481,800.446,648.695,7.983,620,332,1,400,592,15,1114218,8991,1105227,3.16709958855533,"40 tentacle middle 3.txt",74,461188,1.32156409954394,145,109,63,0.751724137931034,36,75.5956739239647,0.000415506896176553,33.4043260760353,461188,0.217548179543241,1363,386,696,977,710.599334885268,0.00390576482405959,266.400665114732,69.4043260760353,30.8382657337742,652.400665114732,208.654268502579,0.521349475337687,208.654268502579
"75","40 tentacle tip 1.txt",75,75,1,324064.219,63707.57,1968629,321170,92785180672,47131.879,6432.072,49692,10189,60389,424.048,594.869,7,81.311,38.147,80.121,421.981,611.125,7.011,269,230,1,399,728,13,586169,2827,583342,1.80008148323219,"40 tentacle tip 1.txt",75,241691,0.745812051530441,118,54,34,0.457627118644068,64,34.9656314115052,0.000364125358745638,19.0343685884948,241691,0.122771228098336,1301,717,869,584,385.510902257358,0.00401463637057691,198.489097742642,83.0343685884948,14.7251488776904,915.489097742642,145.231482481489,0.296318910266993,145.231482481489
"76","40 tentacle tip 2.txt",76,76,1,310736.406,60459.523,1887665,308329,87304863744,46250.188,7193.95,49443,9172,58931,784.387,350.984,7,76.503,36.326,73.844,790.174,367.723,7.011,642,5,1,296,695,13,595214,10676,584538,1.88113780269442,"40 tentacle tip 2.txt",76,251069,0.807980639384752,114,51,35,0.447368421052632,63,35.3014607994533,0.000366870433585436,15.6985392005467,251069,0.133005061809166,1244,644,798,600,385.219449425613,0.00400339315245861,214.780550574387,78.6985392005467,10.1126269513305,858.780550574387,173.468201871864,0.30966193683731,173.468201871864
"77","40 tentacle tip 3.txt",77,77,1,306933,55184.094,1864560,267848,87633707008,46999.672,6255.729,49315,8558,59571,293.353,725.309,8,72.986,34.342,71.656,304.384,721.973,8.009,5,530,1,588,451,15,396765,5580,391185,1.27449638846263,"40 tentacle tip 3.txt",77,170944,0.55694239459426,130,43,26,0.330769230769231,87,27.2740217531214,0.000423545203676372,15.7259782468786,170944,0.0916806109752435,1115,737,840,378,233.927186574849,0.00363271463153196,144.072813425151,102.725978246879,11.4749083429354,881.072813425151,112.291386212539,0.209800167331703,112.291386212539
"78","47 tentacle base 1.txt",78,78,1,357892.281,59541.449,2174128,292080,88292982784,40610.758,9665.031,42235,10004,59359,442.439,260.483,8.5,68.282,30.311,65.466,448.066,258.924,8.501,217,5,1,445,551,16,839335,10376,828959,2.31622486431888,"47 tentacle base 1.txt",78,335291,0.936848928574685,169,65,29,0.384615384615385,104,64.4369011392154,0.000472209122610275,0.563098860784649,335291,0.154218610863758,1489,765,1008,724,567.731040214744,0.00416046972524674,156.268959785256,104.563098860785,0.00795321842546303,921.268959785256,69.5202078561326,0.381283438693582,69.5202078561326
"79","47 tentacle base 2.txt",79,79,1,408359.688,64276.184,2480708,310118,106453983232,42912.742,9067.106,46027,9595,58935,554.855,573.832,8.961,63.514,23.414,65.659,555.603,575.393,9.023,285,324,1,560,481,17,779113,6597,772516,1.89175382071504,"47 tentacle base 2.txt",79,318080,0.778921155410423,125,43,20,0.344,82,38.9261855889528,0.000306102692487119,4.07381441104717,318080,0.128221459357571,1569,985,1209,584,488.601481512536,0.00384220099609832,95.3985184874641,86.0738144110472,0.619155300210599,1080.39851848746,27.0500109150285,0.311409484711623,27.0500109150285
"80","47 tentacle base 3.txt",80,80,1,365828.656,62473.941,2222340,314044,92865036288,41787.051,9615.697,44228,10368,58213,274.54,361.837,8.03,65.378,25.385,66.035,274.131,363.854,8.003,53,108,1,476,492,15,873277,10846,862431,2.35747251030001,"47 tentacle base 3.txt",80,342421,0.936014700827592,130,60,27,0.461538461538462,70,50.4495396743973,0.000355357618567748,9.55046032560274,342421,0.154081283691964,1502,776,1064,726,582.886219930344,0.00410574725452891,143.113780069656,79.5504603256027,2.95455485029714,919.113780069656,57.4221927715825,0.388073382110748,57.4221927715825
"81","47 tentacle middle 1.txt",81,81,1,397570.875,66065.266,2415168,326270,96615153664,40003.492,10379.744,41412,9481,60102,369.993,421.954,8.537,81.911,39.195,80.291,373.023,430.641,8.485,190,40,1,306,785,16,963709,14469,949240,2.38759944374698,"47 tentacle middle 1.txt",81,383442,0.964461996870369,201,89,35,0.442786069651741,112,78.9995727005326,0.000505570233231999,10.0004272994674,383442,0.15876411081962,1548,754,1014,794,608.414619604102,0.00389364537832405,185.585380395898,122.000427299467,2.08567712211188,939.585380395898,93.265835970934,0.39303270000265,93.265835970934
"82","47 tentacle middle 2.txt",82,82,1,360984.875,57403.875,2192915,277130,89642721280,40878.34,9681.475,43414,10622,59259,740.064,701.965,8.941,61.05,23.156,62.221,741.12,709.291,9.003,565,441,1,416,521,17,746777,5280,741497,2.05409437168247,"47 tentacle middle 2.txt",82,289950,0.803219248451892,108,48,18,0.444444444444444,60,36.5183675609862,0.00029918151002864,11.4816324390138,289950,0.132221267126177,1340,733,954,607,453.098264182606,0.00371206688368869,153.901735817394,71.4816324390138,5.4541266363045,886.901735817394,78.981237005553,0.338133032972094,78.981237005553
"83","47 tentacle middle 3.txt",83,83,1,323456.969,56295.156,1964940,280738,78919606272,40163.875,10590.801,41971,9350,58571,225.346,256.832,8,66.049,28.536,63.944,225.095,254.693,7.991,49,14,1,352,576,15,735104,7990,727114,2.24794661944662,"47 tentacle middle 3.txt",83,306304,0.9469698579906,134,58,20,0.432835820895522,76,49.5858784492147,0.000414274580060138,8.41412155078527,306304,0.155884658055717,1410,797,1024,613,521.761855323827,0.00435915789466264,91.2381446761733,84.4141215507853,2.26646618888212,888.238144676173,25.3262131638737,0.370043869023991,25.3262131638737
"84","47 tentacle tip 1.txt",84,84,1,506566.531,82249.023,3077296,417142,119690887168,38894.824,11318.541,39947,9752,58699,791.006,530.293,8.544,108.585,56.285,106.817,790.776,525.055,8.494,684,4,1,234,1010,16,1174172,25332,1148840,2.26789558665099,"47 tentacle tip 1.txt",84,484294,0.956032367641754,199,68,43,0.341708542713568,131,74.2922227825988,0.000392840797450947,-6.29222278259876,484294,0.157376475971112,1897,952,1245,945,708.202746827085,0.00374481905911782,236.797253172915,124.707777217401,0.850402184807504,1188.79725317292,126.344183079242,0.373327752676376,126.344183079242
"85","47 tentacle tip 2.txt",85,85,1,389120.406,63687.488,2363833,302608,96143933440,40672.895,10528.546,43577,9803,60056,739.796,478.321,8.941,83.552,40.555,82.578,728.38,454.634,8.994,485,140,1,479,682,17,687983,15386,672597,1.72850611180746,"47 tentacle tip 2.txt",85,277894,0.714159411110401,137,55,21,0.401459854014599,82,38.9815139225148,0.000352076112914006,16.0184860774852,277894,0.117560758310761,1495,855,1068,640,425.382213971968,0.00384199845844116,214.617786028032,98.0184860774852,9.20019031288724,1069.61778602803,151.343812576524,0.284536597974561,151.343812576524
"86","47 tentacle tip 3.txt",86,86,1,247966.891,43741.453,1506352,203974,62746804224,41654.809,9807.802,45144,10690,59248,269.857,717.608,8.5,58.292,25.374,57.282,279.914,726.302,8.482,21,506,1,484,411,16,423231,6365,416866,1.68113572872114,"47 tentacle tip 3.txt",86,178255,0.718866132817708,97,39,10,0.402061855670103,58,26.8436607114406,0.000391181256533155,12.1563392885594,178255,0.118335555036273,1023,682,810,341,283.103761936121,0.0041255507776641,57.8962380638788,70.1563392885594,7.61147279415919,739.896238063879,16.37042162454,0.276738770221037,16.37042162454
"87","48 tentacle base 1.txt",87,87,1,411719.781,66263.344,2501120,335474,117636603904,47033.57,9047.796,51405,11153,59981,697.638,535.085,8.553,74.569,33.149,72.27,704.773,535.683,8.51,368,365,1,648,336,16,418117,1307,416810,1.01236330930624,"48 tentacle base 1.txt",87,198579,0.482315907964597,93,9,2,0.0967741935483871,84,15.4983887218526,0.000225881787302321,-6.49838872185261,198579,0.0793960305783009,1823,1503,1652,320,303.80174881653,0.00442776879841,16.1982511834698,77.5016112781474,3.26961818692646,1519.19825118347,1.03637804881121,0.166649341095189,1.03637804881121
"88","48 tentacle base 2.txt",88,88,1,573568.438,86683.234,3484320,441075,161721090048,46413.961,8787.248,50714,9704,60555,159.596,578.435,8.959,92.908,46.079,87.007,161.114,587.996,9.078,8,110,1,308,879,17,557607,4160,553447,0.964918854199575,"48 tentacle base 2.txt",88,266329,0.464336916669742,146,19,5,0.13013698630137,127,23.1905399044864,0.000254546781739061,-4.19053990448639,266329,0.0764364352298296,2255,1843,2022,412,358.182654004225,0.00393152734809303,53.8173459957754,122.809460095514,0.900223063363966,1896.81734599578,9.61304636579693,0.15883931441429,9.61304636579693
"89","48 tentacle base 3.txt",89,89,1,509195.094,81575.812,3093264,408526,133129011200,43038.359,10103.015,47737,10438,60041,344.699,690.376,8.542,77.174,32.043,75.572,344.564,692.285,8.535,14,422,1,624,564,16,761949,3657,758292,1.48919738020885,"48 tentacle base 3.txt",89,359635,0.706281353134954,92,20,10,0.217391304347826,72,22.5531555017612,0.000180677310296316,-2.55315550176125,359635,0.116263920570633,2006,1470,1707,536,491.756847136229,0.00393955091798273,44.2431528637711,69.4468444982388,0.382897498488177,1514.24315286377,5.27323384485965,0.245142994584361,5.27323384485965
"90","48 tentacle middle 1.txt",90,90,1,496770.844,78132.617,3017789,386699,141414809600,46860.402,9272.085,51240,11467,60601,450.547,483.61,9,96.24,48.697,93.792,445.027,485,9.017,64,341,1,884,360,17,462946,2586,460360,0.926704949697088,"48 tentacle middle 1.txt",90,222889,0.448675687577188,115,12,4,0.104347826086957,103,17.5431085473504,0.000231495067371546,-5.5431085473504,222889,0.0738583777726011,2253,1887,2050,366,343.692378758091,0.00453529031989647,22.3076212419092,97.4568914526496,2.06673836536764,1909.30762124191,1.7085272415994,0.15254876997696,1.7085272415994
"91","48 tentacle middle 2.txt",91,91,1,618228.75,94029.625,3755623,478168,172550799360,45944.652,9117.331,50555,10829,60365,186.386,515.65,8.941,109.952,55.854,107.983,188.385,511.801,9.083,26,22,1,318,996,17,546614,3785,542829,0.878039075342258,"48 tentacle middle 2.txt",91,267531,0.432737882215927,273,44,14,0.161172161172161,229,39.458784068582,0.000441584122381885,4.54121593141804,267531,0.071234785813166,2522,2059,2264,463,364.524005204995,0.00407939617819456,98.4759947950047,233.541215931418,0.610941627232831,2157.475994795,31.098090993936,0.144537670580886,31.098090993936
