"","X1","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth"
"54","54",1,914348.75,138282.75,5554496,724496,254079926272,45743.109,5873.035,47898,12515,59387,549.154,668.751,8.637,98.367,38.657,99.905,558.076,674.065,8.617,198,216,1,680,806,16
"55","55",1,1087285.625,171038.578,6605055,917984,297198714880,44995.645,6569.544,47013,11760,60853,472.682,414.391,8.149,123.16,55.436,119.977,471.384,421.771,8.104,2,144,1,1007,638,15
"56","56",1,769382.938,123867.359,4673856,617216,213385199616,45655.066,6160.988,47731,10900,59334,614.974,376.095,8.549,121.357,62.839,117.682,616.948,378.521,8.559,30,5,1,986,856,16
"57","57",1,873064.812,150284.594,5303704,790432,235956535296,44489.008,6529.102,45930,12372,59496,494.363,466.301,7.637,122.549,58.836,119.011,501.065,464.038,7.58,116,12,1,825,972,14
"58","58",1,593756.75,101652.742,3606960,511907,170518724608,47274.914,4956.265,48783,10611,60072,470.114,533.688,8,116.767,59.688,115.576,474.486,537.042,8.015,1,232,1,999,592,15
"59","59",1,601068.25,99660.281,3651376,485220,171040620544,46842.785,5630.736,48651,13890,60544,657.928,457.866,8.5,111.498,57.823,108.162,652.449,451.556,8.52,216,62,1,804,864,16
"60","60",1,653442.562,113111.758,3969540,559159,185709985792,46783.754,5012.532,47969,12319,60356,532.696,597.532,8.016,125.658,63.858,123.503,527.904,603.063,8.001,2,122,1,1003,854,15
"61","61",1,442143.125,72120.016,2685936,360536,120177917952,44743.402,6498.406,46446,12396,60555,680.454,411.214,8.562,82.412,38.642,80.147,685.124,411.219,8.518,266,241,1,747,385,16
"62","62",1,516586.594,79875.672,3138166,398191,135783849984,43268.535,7061.343,44502,10487,58547,638.898,548.312,8.999,90.88,44.653,88.025,640.04,547.827,9.009,496,125,1,290,868,17
"63","63",1,450239.188,68570.258,2735118,327518,119208960000,43584.578,7000.389,45151,10655,59277,262.943,735.646,9.48,75.254,35.243,70.819,263.465,735.888,9.511,0,410,1,536,606,18
"64","64",1,535333.188,89704.992,3252048,435836,146562826240,45067.855,7261.549,47254,11526,60912,530.47,322.865,8.522,105.463,54.384,102.815,528.584,321.038,8.52,110,20,1,882,677,16
"65","65",1,548670.75,87632.898,3333071,428411,145829199872,43752.203,7414.874,45164,10780,60060,343.995,503.051,8.975,115.631,60.028,114.486,344.308,506.223,9.004,156,2,1,452,1016,17
"66","66",1,450393.25,71670.391,2736054,335014,119084359680,43524.125,8007.164,45102,11160,59740,676.751,266.013,9.48,90.689,43.596,90.096,677.359,267.177,9.493,244,88,1,777,520,18
