"","volumelist","X.2","X1","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","symbiontvolume","symbiontcorrection","correctedsymbiontvolume","symaporatio","volumelist.1","X1.1","Volume..pixel.3.","symvolrat","totalpoints","overlappoints","halfoverlappoints","pointratio","nonoverlappoints","overlapexpected","pointspervolume","observed_expected","symvolvox$Nb.of.obj..voxels","symvolrat2","totalpointnuc","nonoverlapnuc","halfnonoverlapnuc","overlapnuc","overlapnucexp","nucpervolume","nuc_observed_expected","nonoverlapexpected","chisquare","nonoverlapnucexpected","chisquarenuc","symvolrat3","csbool","csbooln","edu_nonoverlap_half","nuc_overlap_half","halfsymvolrat3","edu_overlap_exp","edu_nonoverlap_exp","nuc_overlap_exp","nuc_nonoverlap_exp","halfchisquare","halfchisquarenuc"
"28","23 tentacle base 3.txt",28,28,1,659444.062,90427.117,4005998,455633,182417326080,45536.051,5365.165,46592,13656,58884,678.569,645.209,9.942,90.199,41.141,87.86,682.315,639.872,10.006,468,269,1,432,752,19,1228737,18193,1210544,1.83570384473338,"23 tentacle base 3.txt",28,447696,0.678899130037204,303,58,10,0.191419141914191,245,91.561411663211,0.000459477941284427,-33.561411663211,447696,0.111756421246341,2443,1613,2033,830,738.232767964437,0.00370463567840876,91.7672320355626,211.438588336789,17.628945608286,1704.76723203556,16.3470851284725,0.302182876776274,"True","True",293,410,0.151091438388137,45.7807058316055,257.219294168394,369.116383982219,2073.88361601778,32.9423372563244,5.33426227280746
"29","23 tentacle middle 1.txt",29,29,1,918446.312,130128.836,5579388,662236,238305886208,42711.832,6112.035,42995,11800,58672,334.082,515.853,9.389,119.639,58.765,116.889,335.247,514.904,9.518,92,4,1,570,1016,18,2178489,38415,2140074,2.33010244805687,"23 tentacle middle 1.txt",29,862464,0.939046723506251,333,117,36,0.351351351351351,216,127.728102437041,0.00036256882481771,-10.7281024370415,862464,0.154580394839004,3119,1671,2345,1448,1196.3482027061,0.00339595244626558,251.651797293897,205.271897562959,1.46175335632608,1922.6517972939,85.8731132154275,0.383567875186311,"False","True",297,774,0.191783937593155,63.8640512185207,269.135948781479,598.174101353052,2520.82589864695,15.0419651318337,63.9455914180161
"30","23 tentacle middle 3.txt",30,30,1,776172.25,106008.211,4715100,513774,208281255936,44173.242,5760.203,44952,13963,59511,791.037,531.64,10.4,111.363,56.489,107.615,792.253,523.708,10.48,464,14,1,557,1007,20,1404607,18994,1385613,1.78518750187217,"23 tentacle middle 3.txt",30,541946,0.698229033568258,368,92,25,0.25,276,108.143111280779,0.00047412156257841,-16.1431112807788,541946,0.114938389429705,2601,1689,2167,912,764.348457720939,0.00335106028333273,147.651542279061,259.856888719221,3.41263000837646,1836.65154227906,40.3922612056285,0.293867150219508,"False","True",343,434,0.146933575109754,54.0715556403894,313.928444359611,382.17422886047,2218.82577113953,18.3225042005824,8.23848392330035
"31","23 tentacle tip 1.txt",31,31,1,559756.688,85079.945,3400416,411920,154454949888,45422.367,6230.791,47380,11630,58915,533.967,513.92,9.491,104.173,52.936,102.824,541.238,495.233,9.49,245,38,1,507,899,18,760576,20112,740464,1.32283189441767,"23 tentacle tip 1.txt",31,301240,0.538162395301296,258,63,22,0.244186046511628,195,56.1812766437989,0.000460914546500247,6.81872335620113,301240,0.088589160855613,2088,1605,1815,483,454.676378419582,0.00373019214376944,28.3236215804184,201.818723356201,1.05796862744108,1633.32362158042,2.25555502281518,0.217756886216275,"False","False",236,273,0.108878443108137,28.0906383218994,229.909361678101,227.338189209791,1860.66181079021,1.48192786304923,10.2919321418961
"32","23 tentacle tip 2.txt",32,32,1,626612.875,93670.188,3806555,437291,171837685760,45142.574,4985.54,46073,8940,58046,575.659,671.017,10.006,117.357,59.884,116.11,564.209,657.396,9.928,188,212,1,834,808,19,727678,9484,718194,1.14615263850108,"23 tentacle tip 2.txt",32,307242,0.490321875368424,364,72,19,0.197802197802198,292,68.6769575114507,0.000580900927067609,3.32304248854935,307242,0.0807139263717456,2402,1867,2132,535,453.192450391496,0.00383330776597911,81.8075496085042,295.323042488549,0.198182266583043,1948.8075496085,18.2015407354064,0.188672960196293,"False","True",345,270,0.0943364800981465,34.3384787557253,329.661521244275,226.596225195748,2175.40377480425,7.56513447379394,9.17984730922765
"33","23 tentacle tip 3.txt",33,33,1,730188.938,102731.156,4435760,484004,196890591232,44387.117,6457.987,46470,13043,59317,583.651,670.055,10.4,113.728,58.62,110.79,563.492,680.308,10.472,57,247,1,949,717,20,1013965,15839,998126,1.36694209958026,"23 tentacle tip 3.txt",33,419928,0.575094990003806,444,80,24,0.18018018018018,364,99.9080076469421,0.000608061800026886,-19.9080076469421,419928,0.0946687828015943,2506,1896,2155,610,563.895196313597,0.00343198844789949,46.1048036864032,344.091992353058,5.11874745962235,1942.1048036864,4.86409852837613,0.225018035240861,"True","True",420,351,0.11250901762043,49.9540038234711,394.045996176529,281.947598156798,2224.0524018432,15.19408238298,19.0557141806421
"34","24 tentacle base 1.txt",34,34,1,617051.625,107045.414,3748472,561080,171099586560,45645.156,5386.662,46848,12932,60171,434.627,592.486,7.45,97.384,44.246,93.81,435.287,592.388,7.493,4,330,1,866,463,14,2213304,15517,2197787,3.56175546900148,"24 tentacle base 1.txt",34,923282,1.49627999115957,371,287,160,0.773584905660377,84,217.523027249503,0.000601246289562887,69.4769727504967,923282,0.246308895998156,2693,667,1343,2026,1578.94747273022,0.0043643025816519,447.052527269778,153.476972750497,53.6422790197723,1114.05252726978,305.970891224026,0.586315437330198,"True","True",211,1350,0.293157718665099,108.761513624752,262.238486375248,789.473736365111,1903.52626363489,34.1503234059829,563.030246448062
"35","24 tentacle base 2.txt",35,35,1,289747.438,56855.094,1760161,286744,78321762304,44496.93,5001.9,45354,13804,58110,604.329,773.764,7,66.741,29.169,64.322,606.608,774.044,6.995,286,569,1,579,417,13,1397655,18660,1378995,4.75930006325026,"24 tentacle base 2.txt",35,604288,2.08556805254651,250,220,128,0.88,30,195.862054664318,0.00086282039877778,24.1379453356824,604288,0.343314049112553,1378,176,514,1202,1079.59164530972,0.00475586603806312,122.408354690281,54.1379453356824,13.7368935298581,298.408354690281,64.0915604470205,0.783448218657271,"True","True",122,864,0.391724109328635,97.9310273321588,152.068972667841,539.795822654859,838.204177345141,15.1780600550659,320.115785210721
"36","24 tentacle base 3.txt",36,36,1,520009.594,92795.703,3158960,477656,144446177280,45725.863,5612.391,46993,9143,59496,699.421,422.154,7.429,98.107,46.625,96.264,701.782,418.249,7.513,517,16,1,427,878,14,1308189,6596,1301593,2.50301728086963,"24 tentacle base 3.txt",36,529586,1.01841582561263,255,139,73,0.545098039215686,116,105.068191746651,0.000490375567955387,33.9318082533492,529586,0.167645680856991,2463,1203,1653,1260,1014.8351226353,0.00473645107401615,245.164877364702,149.931808253349,18.6375641775601,1448.1648773647,100.731990914691,0.41203212449667,"True","True",182,810,0.206016062248335,52.5340958733254,202.465904126675,507.417561317649,1955.58243868235,10.0417381294104,227.253314981622
"37","24 tentacle middle 1.txt",37,37,1,731281.312,127848.117,4442396,665708,203211784192,45743.734,5754.165,47062,13647,60387,475.071,492.719,7.5,119.151,59.224,114.732,472.462,493.841,7.528,2,84,1,1011,657,14,2019276,13512,2005764,2.74280768164906,"24 tentacle middle 1.txt",37,841321,1.15047518129384,322,202,101,0.627329192546584,120,145.384609566549,0.000440323025785185,56.6153904334508,841321,0.189384512321729,2986,1153,1808,1833,1348.19392598048,0.00408324395961044,484.806074019516,176.615390433451,40.1955434535402,1637.80607401952,317.841838766683,0.45150499865388,"True","True",221,1178,0.22575249932694,72.6923047832746,249.307695216725,674.096962990242,2311.90303700976,14.2377305974458,486.509997364354
