"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"184",184,18.766,54.026,114,88,2833588,24856.035,8275.93,24537.5,12910,45266,543.781,302.237,9.167,1.39,0.257,1.395,543.79,302.246,9.168,541,299,8,7,8,4,FALSE,FALSE
"185",185,1.975,16.825,12,12,178272,14856,1509.443,14472.5,13034,17353,516.333,316.167,8.667,1.078,0.461,1.053,516.306,316.104,8.674,514,313,8,6,7,2,FALSE,FALSE
"186",186,6.255,30.926,38,36,661560,17409.475,4056.854,16656,12885,28824,622.632,325.395,8.842,0.973,0.312,1.012,622.642,325.296,8.872,620,323,8,6,6,3,TRUE,TRUE
"187",187,26.997,80.471,164,126,4462287,27209.066,10863.572,24778,12899,52829,611.445,405.14,9.762,1.841,0.617,1.809,611.535,405.058,9.716,609,398,8,6,14,5,TRUE,TRUE
"188",188,27.491,71.058,167,117,4963042,29718.814,12443.248,27718,12940,61725,493.359,411.186,9.946,1.648,0.319,1.642,493.432,411.293,9.914,490,407,8,7,10,5,FALSE,FALSE
"189",189,29.96,78.919,182,125,5306240,29155.164,14190.637,24577,12910,65535,575.264,413.923,9.808,1.726,0.37,1.719,575.133,413.732,9.831,572,409,8,8,11,5,TRUE,TRUE
"190",190,19.424,53.751,118,84,3682647,31208.873,15497.224,27624,12978,65535,506.415,416.288,10.195,1.534,0.336,1.505,506.449,416.284,10.195,504,414,8,7,6,5,FALSE,FALSE
"191",191,14.98,46.373,91,68,2663257,29266.561,12758.78,24848,12928,60928,622.945,428.044,9.319,1.396,0.296,1.397,622.979,428.089,9.295,621,424,8,5,8,4,FALSE,FALSE
"192",192,10.041,36.237,61,48,1453815,23833.033,9148.604,23902,13010,47348,574.229,440.393,9.459,1.262,0.321,1.355,574.158,440.491,9.341,573,437,8,4,7,4,FALSE,FALSE
"193",193,10.041,36.615,61,51,1117966,18327.311,4292.24,17227,13077,32213,581.557,446.656,9.082,1.12,0.192,1.123,581.554,446.645,9.096,579,444,8,6,6,3,TRUE,TRUE
"194",194,20.741,60.611,126,94,3313962,26301.285,11068.075,23528.5,12955,61736,468.302,453.302,9.135,1.537,0.361,1.543,468.425,453.432,9.158,465,449,8,7,10,4,FALSE,FALSE
"195",195,33.581,80.435,204,144,6085320,29830,14093.514,26929.5,12990,65535,601.475,503.868,9.466,1.759,0.31,1.736,601.535,503.605,9.494,598,499,8,8,12,4,FALSE,FALSE
"196",196,27.984,70.851,170,120,5028692,29580.541,13897.395,26047,12924,65535,617.459,543.059,9.559,1.695,0.308,1.667,617.237,542.893,9.521,613,539,8,11,8,4,FALSE,FALSE
"197",197,8.889,37.857,54,48,1014209,18781.648,4692.342,17613.5,12918,32094,494.944,565.018,8.981,1.16,0.354,1.128,494.974,564.904,8.97,493,562,8,5,9,3,TRUE,FALSE
"198",198,19.424,55.716,118,85,3007239,25485.076,9634.884,21203.5,13169,45397,518.254,598.847,9.525,1.491,0.278,1.519,518.28,598.867,9.512,515,596,8,8,7,4,FALSE,FALSE
"199",199,34.898,86.368,212,133,7513306,35440.121,18254.352,30255,12898,65535,473.316,602.321,9.858,1.95,0.394,2.038,473.272,602.412,9.789,469,598,8,10,10,5,FALSE,FALSE
"200",200,1.975,12.86,12,12,176467,14705.583,2127.836,13737,12908,19764,593.5,666.75,8,0.684,0.323,0.664,593.545,666.818,8,592,664,8,4,6,1,FALSE,FALSE
"201",201,12.84,40.373,78,64,1606499,20596.141,5667.414,19305,13218,34782,464.808,684.487,9.103,1.221,0.215,1.209,464.935,684.467,9.134,462,682,8,7,6,3,FALSE,FALSE
"202",202,7.737,33.098,47,47,819497,17436.105,3362.841,16821,13144,26497,525.723,732.596,9.298,1.001,0.321,1.011,525.737,732.658,9.272,524,730,8,5,7,3,TRUE,FALSE
"203",203,23.54,65.644,143,115,3399707,23774.176,7751.066,23110,12951,46173,509.72,802.385,10.063,1.503,0.323,1.491,509.751,802.294,10.056,505,798,8,10,10,5,TRUE,FALSE
"204",204,26.997,71.058,164,114,5424826,33078.207,16017.461,29098,13084,65535,604.402,824.104,9.47,1.691,0.314,1.683,604.433,824.209,9.466,600,819,8,9,10,4,TRUE,FALSE
