"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"59",59,12.017,38.753,73,56,2083805,28545.273,14062.295,24123,13412,65535,133.973,386,5.274,1.268,0.265,1.25,134.032,386.097,5.299,132,383,4,5,7,4,TRUE,FALSE
"60",60,9.383,43.786,57,57,1053356,18479.93,4194.301,17419,13421,31455,373.193,437.105,4.404,1.515,0.507,1.494,372.938,436.772,4.434,369,434,4,9,10,2,TRUE,TRUE
"61",61,2.305,14.205,14,14,221779,15841.357,1838.139,15924,13467,18829,437.071,446.286,4.357,0.677,0.146,0.712,437.086,446.285,4.323,436,445,4,3,4,2,TRUE,TRUE
"62",62,11.358,36.063,69,58,1490429,21600.42,5406.885,19874,13840,33135,575.116,465.551,5.029,1.192,0.225,1.187,575.116,465.535,5.02,572,463,4,7,6,3,TRUE,TRUE
"63",63,8.395,30.271,51,49,1001943,19645.941,4015.503,19233,13975,30433,566.412,466.157,5.373,0.964,0.249,0.987,566.396,466.174,5.343,564,464,4,6,6,3,FALSE,FALSE
"64",64,5.432,26.375,33,30,635007,19242.637,4900.021,17603,13370,30532,507.333,514.061,5.152,0.919,0.234,0.937,507.318,514.032,5.152,505,512,4,6,5,3,TRUE,TRUE
"65",65,12.181,42.441,74,62,1527277,20638.879,6084.082,19146,13422,42444,759.432,16.932,6.095,1.239,0.305,1.217,759.436,17.039,6.101,757,11,5,6,10,3,FALSE,FALSE
"66",66,6.749,29.34,41,39,857600,20917.072,5811.942,19437,13964,34937,508.854,65.293,5.61,0.978,0.294,1.009,508.753,65.185,5.627,506,63,5,7,6,3,TRUE,TRUE
"67",67,62.06,149.218,377,247,12163804,32264.732,16419.119,26470,13399,65535,380.146,95.101,6.984,2.434,0.726,2.567,379.901,95.921,7.068,374,87,5,14,16,6,TRUE,TRUE
"68",68,26.832,64.918,163,129,3676219,22553.49,6875.9,20745,13497,43637,516.35,148.061,5.865,1.537,0.299,1.57,516.384,148.097,5.861,512,143,5,10,10,3,FALSE,FALSE
"69",69,15.803,48.13,96,78,1956605,20381.303,6103.147,18539,13491,36361,378.5,170.156,5.969,1.309,0.246,1.316,378.545,170.067,5.983,375,167,5,7,9,3,TRUE,FALSE
"70",70,25.021,63.128,152,108,4214889,27729.533,11081.707,25237,13472,59799,533.612,180.993,6.27,1.57,0.243,1.578,533.572,181.018,6.25,530,177,5,8,8,4,FALSE,FALSE
"71",71,20.741,59.44,126,89,4098899,32530.945,15815.915,27464.5,13619,65535,689.635,199.46,7.246,1.573,0.358,1.628,689.578,199.468,7.206,686,197,5,9,6,5,FALSE,FALSE
"72",72,11.358,38.097,69,58,1560453,22615.262,8176.318,20778,13447,46842,134.725,206,6.072,1.225,0.284,1.21,134.867,205.977,6.136,131,204,5,8,5,3,TRUE,TRUE
"73",73,35.886,80.813,218,158,5865914,26907.863,10225.438,25730,13405,51030,487.555,212.995,6.638,1.758,0.341,1.736,487.507,213.022,6.654,483,208,5,10,10,4,TRUE,FALSE
"74",74,8.231,30.341,50,40,1357650,27153,10173.062,26541.5,13393,46397,526.98,229.66,6.36,1.115,0.276,1.049,526.885,229.673,6.407,525,228,5,5,5,4,FALSE,FALSE
"75",75,4.28,24.1,26,26,417856,16071.385,1958.754,15402,13647,19845,875.462,238.615,5.577,0.959,0.367,0.858,875.459,238.629,5.607,872,237,5,8,5,2,TRUE,TRUE
"76",76,24.857,63.747,151,121,3681890,24383.377,8007.825,22731,13632,44829,571.808,249.384,6.079,1.519,0.321,1.512,571.819,249.366,6.108,568,245,5,9,9,3,FALSE,FALSE
"77",77,11.852,42.786,72,69,1538649,21370.125,5220.994,21114.5,13408,37236,165.528,252.014,5.625,1.241,0.457,1.207,165.598,251.921,5.639,163,248,5,6,10,3,FALSE,FALSE
"78",78,7.408,35.615,45,45,768126,17069.467,2950.675,15933,13597,25594,880.889,264.222,5.289,1.186,0.452,1.242,880.861,264.258,5.255,877,261,5,9,7,2,TRUE,FALSE
"79",79,18.437,57.68,112,97,2689057,24009.438,7374.594,23193.5,13510,42198,200.768,275.884,6.366,1.325,0.348,1.387,200.692,275.893,6.396,198,272,5,7,9,4,FALSE,FALSE
"80",80,2.798,17.963,17,17,294775,17339.705,3637.961,16143,13395,27768,385.765,323.118,5.706,0.809,0.312,0.786,385.639,323.114,5.75,383,322,5,7,3,2,TRUE,TRUE
"81",81,1.811,11.481,11,11,175619,15965.363,2804.867,14726,13872,22108,393.636,323.818,5.727,0.611,0.179,0.628,393.582,323.738,5.701,392,323,5,4,3,2,TRUE,TRUE
"82",82,3.128,17.17,19,19,297693,15668.053,1890.84,15024,13656,20059,668.105,332.789,5.368,0.843,0.278,0.823,668.135,332.754,5.374,667,331,5,3,6,2,FALSE,FALSE
"83",83,12.675,41.407,77,62,1899934,24674.467,9408.65,23128,13480,50572,83.442,341.948,5.974,1.237,0.235,1.221,83.564,341.97,5.944,80,338,5,8,7,3,TRUE,FALSE
"84",84,22.717,69.576,138,106,3190979,23123.037,7026.872,22223,13447,43033,902.435,343.536,6.899,1.645,0.454,1.7,902.531,343.484,6.865,897,341,5,11,7,5,TRUE,FALSE
"85",85,7.078,35.822,43,43,696917,16207.372,2450.679,15145,13886,22407,767.14,362.651,5.488,0.988,0.33,0.925,767.184,362.619,5.495,764,358,5,6,9,2,TRUE,FALSE
"86",86,1.646,11.377,10,10,145211,14521.1,1015.306,14366,13544,16913,638.9,381.6,5,0.675,0.304,0.637,638.89,381.592,5,637,381,5,6,3,1,TRUE,TRUE
"87",87,4.115,20.238,25,25,479110,19164.4,4441.056,18966,14161,28764,407.76,384.6,5.52,0.788,0.2,0.771,407.716,384.508,5.561,406,383,5,4,5,2,TRUE,FALSE
"88",88,16.955,60.611,103,92,2357556,22888.893,6903.213,22286,13365,38867,214.932,468.223,6.728,1.562,0.601,1.507,214.81,468.246,6.704,210,464,5,11,9,4,TRUE,FALSE
"89",89,4.938,26.513,30,29,535453,17848.434,4369.02,16305,13443,30321,272.2,467.9,6,0.983,0.423,1.029,272.249,467.799,6,269,465,5,7,7,3,TRUE,FALSE
"90",90,22.058,72.437,134,105,3012089,22478.275,7071.104,20761,13394,40169,989.903,6.716,7.418,1.741,0.628,1.646,989.872,6.705,7.427,984,4,6,15,6,4,TRUE,FALSE
"91",91,6.585,26.72,40,33,762938,19073.449,4543.713,18178,13549,30426,944.025,14.9,7.05,1.002,0.172,1.003,944.026,14.937,7.07,942,13,6,5,5,3,TRUE,TRUE
"92",92,13.005,43.96,79,64,2258563,28589.404,11746.961,26531,13391,58718,1014.886,20.266,8.177,1.36,0.412,1.287,1014.989,20.158,8.194,1013,17,6,4,7,5,TRUE,TRUE
"93",93,3.786,20.479,23,23,389214,16922.348,3033.963,16097,13587,27043,672.783,106.957,6.217,0.825,0.289,0.865,672.761,107.018,6.193,670,105,6,6,5,2,FALSE,FALSE
"94",94,4.938,22.755,30,30,535565,17852.166,4051.142,17275,13607,29967,306.733,115.167,6.667,0.857,0.262,0.844,306.808,115.128,6.696,304,114,6,7,4,2,TRUE,FALSE
"95",95,8.56,44.338,52,51,954882,18363.115,5018.649,16238.5,13473,33765,259.019,124.346,6.75,1.213,0.505,1.11,259.007,124.249,6.788,254,122,6,11,6,3,FALSE,FALSE
