"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"141",141,17.778,55.097,108,75,1277587,11829.509,3061.939,11102.5,7476,20320,471.63,992.056,13.991,1.575,0.421,1.445,471.552,992.107,13.954,468,989,12,7,6,5,TRUE,TRUE
"142",142,33.252,82.228,202,136,3164178,15664.247,6313.846,14707,7559,33504,208.297,1006.99,13.832,1.738,0.27,1.764,208.355,1006.921,13.861,204,1003,12,10,9,5,FALSE,FALSE
"143",143,5.926,29.996,36,34,380730,10575.833,2291.567,10208.5,7481,16460,944.083,601.667,13.889,1.06,0.352,1.084,944.091,601.654,13.876,941,600,13,7,5,3,TRUE,FALSE
"144",144,15.474,52.269,94,70,1089902,11594.702,2738.693,11177,7556,18584,915.989,647.106,14.989,1.426,0.358,1.339,915.986,647.122,14.962,913,644,13,7,7,5,FALSE,FALSE
"145",145,30.454,86.746,185,136,2096229,11330.968,2941.827,10381,7469,21767,677.989,685.562,15.481,1.721,0.428,1.743,678.159,685.619,15.458,673,682,13,11,8,5,TRUE,FALSE
"146",146,18.272,56.405,111,88,1223697,11024.297,2524.241,10625,7475,17305,714.649,771.432,14.676,1.381,0.304,1.405,714.765,771.431,14.669,710,769,13,10,6,4,FALSE,FALSE
"147",147,24.692,73.059,150,103,2146399,14309.327,5630.079,12808,7489,32268,491.287,783.727,15.08,1.776,0.494,1.858,491.172,783.774,15.055,486,781,13,12,6,6,TRUE,TRUE
"148",148,11.523,46.132,70,54,886042,12657.743,3660.446,11993,7519,21355,919.671,793.7,14.357,1.266,0.309,1.229,919.716,793.763,14.312,917,790,13,7,7,4,FALSE,FALSE
"149",149,29.96,76.402,182,118,2714098,14912.626,6050.426,12633.5,7499,33114,231.78,861.824,15.269,1.75,0.347,1.745,231.8,861.807,15.269,229,857,13,7,10,6,FALSE,FALSE
"150",150,21.071,67.749,128,95,1543275,12056.836,3265.498,11725,7521,21302,798.859,864.094,15.031,1.542,0.371,1.559,798.907,864.007,15.022,795,860,13,8,10,5,FALSE,FALSE
"151",151,25.021,68.301,152,102,2168356,14265.5,5306.777,13400,7551,30122,123.658,901.086,15.138,1.709,0.382,1.776,123.78,901.042,15.142,119,899,13,10,6,5,TRUE,TRUE
"152",152,41.318,99.88,251,166,3064658,12209.793,3393.183,11766,7567,20456,370.271,901.251,15.386,1.867,0.382,1.882,370.287,901.154,15.371,366,896,13,10,12,5,FALSE,FALSE
"153",153,9.712,36.167,59,54,633746,10741.458,2662.316,10024,7504,20191,507.322,913.864,14.305,1.093,0.291,1.076,507.395,913.938,14.306,503,911,13,9,6,3,FALSE,FALSE
"154",154,5.597,31.03,34,32,340047,10001.383,2130.021,9578,7579,14385,63.529,921.088,14.324,0.928,0.278,0.877,63.57,921,14.346,62,918,13,5,7,3,TRUE,FALSE
"155",155,46.75,106.673,284,176,4715581,16604.158,7028.2,14927.5,7551,34324,130.296,999.673,15.644,2.011,0.388,2.021,130.297,999.696,15.604,126,994,13,9,12,6,TRUE,FALSE
"156",156,31.277,75.609,190,121,3153959,16599.785,7134.059,14812.5,7547,33467,314.626,1010.584,14.8,1.797,0.336,1.767,314.721,1010.518,14.754,312,1006,13,7,10,5,FALSE,FALSE
"157",157,8.889,44.097,54,50,559482,10360.777,2042.869,10253.5,7682,15517,445.093,1011.333,14.167,1.135,0.358,1.136,444.903,1011.395,14.177,442,1008,13,8,6,3,FALSE,FALSE
"158",158,24.528,76.299,149,114,1571174,10544.792,2383.762,9767,7486,16557,848.544,609.732,15.691,1.593,0.399,1.58,848.42,609.823,15.673,844,607,14,11,7,5,TRUE,TRUE
"159",159,21.729,70.888,132,100,2210977,16749.826,7330.244,14691.5,7544,33948,804.409,665.258,15.644,1.673,0.472,1.692,804.429,665.391,15.622,802,660,14,6,12,5,FALSE,FALSE
"160",160,8.066,38.305,49,46,478723,9769.857,1721.013,9282,7589,15922,619.02,809.612,15.49,1.124,0.37,1.163,619.053,809.579,15.472,616,807,14,7,7,4,TRUE,FALSE
"161",161,33.911,79.401,206,139,2697879,13096.5,3979.403,12276,7470,24515,350.243,893.908,15.524,1.774,0.284,1.731,350.222,893.888,15.485,346,889,14,9,11,4,FALSE,FALSE
"162",162,33.417,81.057,203,128,3690982,18182.178,8149.221,16436,7535,37587,165.906,896,16.35,1.815,0.306,1.813,166.008,896.047,16.3,161,893,14,11,7,6,FALSE,FALSE
"163",163,15.145,50.613,92,80,920856,10009.305,1876.344,9555,7475,15159,433.533,902.641,15.141,1.298,0.34,1.291,433.438,902.598,15.126,430,900,14,9,6,4,TRUE,FALSE
"164",164,32.264,96.504,196,144,2578830,13157.296,4349.759,12043.5,7599,25287,455.694,919.597,15.908,2.135,0.829,2.112,455.544,919.586,15.892,448,917,14,16,8,5,TRUE,FALSE
"165",165,17.614,51.095,107,87,1231811,11512.252,3155.713,10877,7494,22516,470.944,922.561,16.093,1.359,0.277,1.34,470.765,922.485,16.073,468,919,14,8,8,5,TRUE,FALSE
"166",166,1.646,11.826,10,10,82348,8234.8,472.971,8123,7646,9031,557.6,938.7,14.8,0.587,0.238,0.61,557.594,938.709,14.813,556,937,14,4,4,2,FALSE,FALSE
"167",167,2.634,17.274,16,16,145660,9103.75,1068.983,9084.5,7833,11227,620.312,942.125,14.625,0.731,0.2,0.733,620.32,942.154,14.638,618,941,14,5,3,2,TRUE,FALSE
"168",168,8.725,36.823,53,45,556040,10491.32,2136.08,10279,7474,16600,562.792,949.377,14.906,1.132,0.267,1.111,562.778,949.367,14.902,560,947,14,6,6,3,TRUE,FALSE
"169",169,30.618,82.195,186,121,2192508,11787.678,3122.706,10965,7499,20902,77.968,988.392,16.726,1.776,0.401,1.747,77.953,988.43,16.676,74,984,14,9,9,6,FALSE,FALSE
"170",170,6.914,29.34,42,40,459022,10929.096,2477.104,10758.5,7480,17616,139.476,989.286,15.524,0.956,0.28,0.882,139.412,989.291,15.546,137,987,14,6,6,4,FALSE,FALSE
"171",171,4.115,28.858,25,25,209741,8389.64,751.897,8094,7531,10077,663.32,997.92,15.32,1.232,0.579,1.287,663.24,997.833,15.319,660,995,14,8,8,3,TRUE,FALSE
"172",172,3.622,25.1,22,22,178875,8130.682,541.938,7941,7501,9574,798.182,712.227,16.182,0.962,0.392,0.952,798.187,712.225,16.19,796,710,15,6,5,3,TRUE,FALSE
"173",173,10.7,53.44,65,63,604907,9306.262,1476.943,8873,7502,13663,606.508,816.154,15.8,1.325,0.536,1.288,606.444,816.069,15.803,602,814,15,11,7,3,TRUE,FALSE
"174",174,9.054,38.891,55,52,550150,10002.728,1584.727,9870,7559,14637,298.145,817.564,15.691,1.077,0.355,1.041,298.115,817.532,15.66,295,815,15,8,6,3,TRUE,FALSE
"175",175,3.457,17.618,21,21,203584,9694.477,1759.392,9601,7497,15330,281.571,823.095,15.762,0.774,0.282,0.766,281.531,823.052,15.744,280,822,15,4,4,3,FALSE,FALSE
"176",176,4.774,24.445,29,29,284951,9825.896,1450.642,10095,7546,13294,819.034,858.448,15.552,0.852,0.256,0.84,819.022,858.475,15.543,817,857,15,6,4,3,FALSE,FALSE
"177",177,28.807,76.402,175,116,2391105,13663.457,4722.176,12599,7480,26422,173.566,876.554,17.474,1.725,0.334,1.672,173.491,876.432,17.426,170,872,15,8,10,6,TRUE,FALSE
"178",178,19.754,64.647,120,86,1187812,9898.434,1936.821,9258,7515,16148,249.892,904,16.967,1.575,0.397,1.551,249.912,903.962,16.936,247,901,15,7,7,5,TRUE,FALSE
"179",179,3.292,21.031,20,20,171649,8582.45,727.459,8572.5,7513,10164,605.55,939.05,15.45,0.893,0.351,0.787,605.591,939.025,15.457,602,938,15,8,4,2,TRUE,FALSE
"180",180,10.7,46.718,65,57,597056,9185.477,1353.814,8868,7514,13457,623.862,972.415,16.338,1.251,0.42,1.273,623.839,972.411,16.352,621,969,15,8,7,4,FALSE,FALSE
"181",181,7.737,28.306,47,40,510251,10856.404,2530.424,10583,7500,16378,118.277,986.128,16.106,1.041,0.178,1.063,118.329,986.202,16.13,116,984,15,5,5,3,TRUE,FALSE
"182",182,4.28,23.996,26,26,230992,8884.308,1010.825,8568,7528,11133,147.346,985.885,16,0.853,0.345,0.898,147.343,985.86,16.002,145,984,15,6,5,3,FALSE,FALSE
"183",183,19.589,76.473,119,99,1502058,12622.336,4956.855,10743,7476,27550,374.655,1001.319,17.092,1.938,0.75,1.955,374.078,1001.498,17.078,369,997,15,15,9,5,FALSE,FALSE
"184",184,12.017,42.408,73,61,881262,12072.082,3114.423,11377,7506,22517,145.685,1017.671,16.096,1.252,0.316,1.217,145.557,1017.763,16.115,142,1015,15,9,6,4,FALSE,FALSE
"185",185,2.963,16.584,18,17,176185,9788.056,1700.488,9294.5,8171,13078,112.5,979.556,16.778,0.802,0.275,0.793,112.469,979.561,16.754,111,979,16,4,3,3,TRUE,TRUE
"186",186,6.42,27.65,39,39,375922,9639.025,1777.933,9322,7468,16129,504.308,987.667,16.359,0.94,0.291,0.874,504.423,987.68,16.364,501,985,16,7,5,2,FALSE,FALSE
"187",187,4.28,20.928,26,26,220825,8493.27,866.11,8300,7475,10434,518.462,851.462,17.346,0.798,0.204,0.753,518.447,851.486,17.339,517,849,17,4,5,2,FALSE,FALSE
"188",188,11.358,41.718,69,55,761304,11033.392,2702.434,10557,7578,20095,304.188,1009.551,18.058,1.221,0.262,1.19,304.247,1009.639,18.045,301,1007,17,7,6,4,FALSE,FALSE
