"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"91",91,24.857,88.777,151,140,2914022,19298.158,5767.457,18881,12038,34024,476.596,628.907,6.742,1.726,0.613,1.686,476.596,629.096,6.719,472,622,5,10,14,4,TRUE,TRUE
"92",92,27.655,87.639,168,141,3315713,19736.387,6522.898,18173,12123,38022,490.065,657.048,6.292,1.821,0.656,1.773,490.094,656.866,6.241,485,653,5,11,14,4,TRUE,FALSE
"93",93,45.434,95.915,276,173,8014738,29038.906,14012.266,25056.5,12100,63970,613.504,672.123,7.464,1.972,0.347,1.951,613.542,672.21,7.447,609,666,5,9,13,5,FALSE,FALSE
"94",94,23.869,71.537,145,135,2404392,16582.014,3251.362,15831,12120,26639,527.924,722.841,5.697,1.481,0.411,1.511,527.894,722.871,5.718,523,718,5,11,10,3,TRUE,FALSE
"95",95,19.424,51.543,118,93,2390241,20256.279,6153.21,19410.5,12049,38076,448.297,731.602,6,1.405,0.264,1.385,448.327,731.717,5.997,444,729,5,9,7,3,TRUE,FALSE
"96",96,21.4,60.508,130,94,3196548,24588.83,10759.227,21047,12064,49265,577.554,745.692,6.569,1.509,0.244,1.538,577.512,745.717,6.582,574,742,5,8,9,4,TRUE,TRUE
"97",97,13.663,44.164,83,80,1515699,18261.434,4006.348,18034,12074,28758,518.386,775.988,6.422,1.187,0.372,1.178,518.421,775.901,6.443,515,772,5,7,9,3,TRUE,FALSE
"98",98,22.881,67.575,139,110,3151426,22672.129,7974.287,20866,12103,44296,552.892,779.252,6.439,1.505,0.401,1.493,552.987,779.371,6.483,548,775,5,10,9,4,TRUE,TRUE
"99",99,34.734,81.643,211,128,6477868,30700.797,16649.756,25742,12144,65535,529.261,798.806,6.948,1.848,0.266,1.881,529.326,798.89,6.924,525,795,5,9,9,5,FALSE,FALSE
"100",100,14.157,42.441,86,71,1912188,22234.744,7265.839,20120.5,12032,39222,612.919,824.64,6.198,1.249,0.222,1.257,612.881,824.674,6.238,610,822,5,7,7,3,FALSE,FALSE
"101",101,22.223,58.955,135,112,2564550,18996.666,5056.09,17925,12379,35610,70.333,176.681,6.83,1.452,0.308,1.45,70.38,176.555,6.83,67,172,6,8,10,3,FALSE,FALSE
"102",102,20.083,60.749,122,102,2441733,20014.205,5655.455,19831.5,12106,35465,67.713,188.566,7.287,1.401,0.351,1.435,67.687,188.661,7.321,64,184,6,8,9,4,FALSE,FALSE
"103",103,1.975,13.86,12,12,174360,14530,2245.041,13977,12082,19021,234.167,388.833,6.667,0.708,0.199,0.715,234.1,388.855,6.667,233,388,6,4,3,2,TRUE,TRUE
"104",104,8.231,35.029,50,45,854274,17085.48,4616.821,15617.5,12152,28380,363.68,454.24,7.16,1.053,0.265,1.103,363.698,454.266,7.156,361,452,6,7,6,3,TRUE,FALSE
"105",105,47.08,131.462,286,195,7358259,25728.178,14466.567,20425,12037,65535,192.787,510.577,10.685,2.573,1.005,2.571,193.161,510.552,11.051,185,507,6,14,9,9,TRUE,FALSE
"106",106,3.128,20.238,19,19,254978,13419.895,1024.342,13046,12119,15859,497.158,601.368,6.684,0.765,0.201,0.786,497.177,601.38,6.69,495,600,6,5,4,2,FALSE,FALSE
"107",107,24.692,63.887,150,99,4753709,31691.393,16818.08,26581,12076,65535,563.94,650.28,8.26,1.65,0.293,1.681,564.034,650.319,8.283,560,647,6,9,7,5,FALSE,FALSE
"108",108,33.252,78.678,202,126,6734531,33339.262,17720.105,28723,12113,65535,330.658,655.52,8.104,1.796,0.246,1.808,330.619,655.492,8.142,327,652,6,8,9,5,FALSE,FALSE
"109",109,22.388,59.059,136,100,3429355,25215.846,9930.613,22600.5,12038,49739,455.838,654.934,7.787,1.47,0.282,1.469,455.82,655.067,7.798,453,651,6,7,9,4,TRUE,TRUE
"110",110,26.503,75.539,161,118,3751889,23303.658,9622.995,20429,12136,51482,477.224,672.721,7.093,1.614,0.383,1.577,477.124,672.646,7.094,472,669,6,11,9,4,TRUE,FALSE
"111",111,1.646,13.516,10,10,135667,13566.7,1159.927,13252,12273,15780,499,698.3,6.6,0.706,0.191,0.648,499.016,698.297,6.595,497,697,6,5,3,2,TRUE,TRUE
"112",112,15.474,45.613,94,74,2062605,21942.605,7684.162,20769.5,12051,44635,471.394,773.596,7.936,1.314,0.248,1.256,471.39,773.473,7.897,469,770,6,6,8,4,FALSE,FALSE
"113",113,7.737,32.857,47,41,860633,18311.34,5589.037,17181,12053,31959,585.191,774.277,7.021,1.054,0.209,1.074,585.192,774.305,7.053,583,772,6,6,6,3,TRUE,TRUE
"114",114,27.491,65.3,167,116,4855592,29075.4,14056.001,25146,12641,64657,664.359,779.748,7.629,1.692,0.319,1.693,664.308,779.74,7.676,660,777,6,11,6,4,FALSE,FALSE
"115",115,10.535,45.165,64,64,1000035,15625.547,2484.15,15030,12090,22315,617.281,804.062,6.562,1.179,0.392,1.148,617.357,804.177,6.565,613,801,6,9,7,2,TRUE,FALSE
"116",116,29.137,74.505,177,126,4371025,24695.057,10383.394,21889,12071,50562,241.469,263.723,8.356,1.687,0.332,1.659,241.459,263.706,8.35,237,261,7,11,8,4,TRUE,FALSE
"117",117,26.503,66.819,161,103,5167099,32093.783,16748.342,26455,12052,65535,255.839,265.41,8.944,1.753,0.349,1.832,255.862,265.395,8.897,253,262,7,7,8,5,FALSE,FALSE
"118",118,23.704,63.784,144,99,3730981,25909.59,12492.104,23225.5,12053,63795,112.562,384.896,9.028,1.595,0.292,1.583,112.515,384.868,8.98,109,381,7,7,9,5,FALSE,FALSE
"119",119,18.272,53.337,111,85,2446537,22040.873,8217.056,20599,12044,42313,139.216,442.09,8.694,1.403,0.239,1.409,139.24,442.066,8.679,136,438,7,7,9,4,FALSE,FALSE
"120",120,12.346,45.854,75,66,1300801,17344.014,4334.375,15964,12040,30556,406.08,475.373,7.84,1.186,0.305,1.189,406.194,475.443,7.833,402,472,7,8,8,3,FALSE,FALSE
"121",121,30.618,82.814,186,139,4206422,22615.172,8228.54,21225.5,12091,42059,224.634,566.554,8.473,1.767,0.489,1.742,224.632,566.669,8.472,221,561,7,9,12,4,FALSE,FALSE
"122",122,29.466,74.057,179,126,4352086,24313.33,9818.723,21996,12130,54624,540.369,617.235,9.011,1.633,0.335,1.649,540.432,617.176,8.973,536,613,7,10,9,5,FALSE,FALSE
"123",123,21.235,56.231,129,103,2876151,22295.744,8363.068,20215,12208,46484,426.24,635.775,8.031,1.436,0.285,1.407,426.186,635.788,8.033,423,631,7,8,10,3,TRUE,TRUE
"124",124,31.441,72.574,191,126,5844096,30597.361,15590.583,24672,12162,65535,379.654,693.555,8.607,1.716,0.213,1.691,379.745,693.737,8.597,376,689,7,9,9,4,FALSE,FALSE
"125",125,11.194,40.028,68,60,1202868,17689.234,4406.165,16580.5,12046,30079,632.412,764.706,7.779,1.126,0.247,1.162,632.439,764.771,7.777,630,762,7,6,6,3,TRUE,FALSE
"126",126,6.091,29.133,37,37,565860,15293.514,2858.287,14176,12079,21278,636.784,841.487,7.27,0.923,0.287,0.979,636.73,841.45,7.251,634,839,7,7,6,2,TRUE,TRUE
"127",127,5.761,27.754,35,35,515881,14739.457,1660.962,14984,12102,18241,702.771,842.914,7.6,0.929,0.269,0.938,702.747,842.865,7.609,700,840,7,6,7,2,TRUE,TRUE
"128",128,24.857,61.92,151,115,3353115,22206.061,7555.479,20298,12188,45393,629.179,853.815,7.98,1.523,0.309,1.528,629.069,853.74,7.994,625,850,7,10,9,3,FALSE,FALSE
"129",129,51.03,131.84,310,224,7129996,22999.986,9075.14,21305,12040,53667,580.871,857.132,10.094,2.489,0.92,2.652,580.983,857.377,10.001,576,850,7,10,16,7,FALSE,FALSE
"130",130,30.289,74.157,184,156,3676527,19981.125,5538.253,19180,12038,37003,612.446,869.848,7.897,1.628,0.403,1.656,612.451,869.793,7.877,608,865,7,10,11,3,FALSE,FALSE
"131",131,28.643,71.644,174,114,4544873,26119.959,11982.957,23723,12148,65535,173.046,136.845,10.167,1.71,0.281,1.727,173.064,136.837,10.146,170,133,8,8,9,5,TRUE,TRUE
"132",132,11.358,39.339,69,56,1291730,18720.725,5359.939,18129,12090,33262,241.42,198.29,9.884,1.22,0.274,1.201,241.346,198.263,9.86,238,196,8,8,5,4,FALSE,FALSE
"133",133,36.38,84.745,221,145,5898778,26691.303,12272.982,22450,12126,65535,77.24,239.122,9.932,1.816,0.286,1.865,77.121,239.111,9.916,74,234,8,8,11,5,FALSE,FALSE
"134",134,26.009,64.921,158,108,4803004,30398.76,15329.539,25042.5,12049,65535,86.487,308.778,10.494,1.654,0.295,1.65,86.52,308.818,10.551,84,304,8,6,10,5,FALSE,FALSE
"135",135,25.68,65.611,156,102,4456156,28565.104,14443.2,24462,12369,65535,283.66,355.231,10.41,1.645,0.257,1.641,283.748,355.274,10.399,280,352,8,9,7,5,FALSE,FALSE
"136",136,8.56,34.788,52,45,927468,17835.924,4681.379,16763,12073,29811,332.981,410.173,8.865,1.097,0.256,1.126,333.013,410.196,8.834,329,408,8,8,5,3,FALSE,FALSE
"137",137,23.211,71.333,141,114,2781102,19724.127,6258.461,17920,12125,35352,139.865,415.156,9.574,1.704,0.646,1.752,140.013,415.341,9.568,135,409,8,10,12,4,FALSE,FALSE
"138",138,2.634,21.135,16,16,228892,14305.75,1695.444,13795.5,12291,17254,204.812,428.438,8.688,0.89,0.285,0.836,204.802,428.393,8.714,203,427,8,6,4,2,TRUE,TRUE
"139",139,11.852,41.166,72,61,1357405,18852.848,5405.592,16706,12123,30716,393.986,483.847,9.569,1.165,0.286,1.128,393.908,483.784,9.574,392,481,8,5,8,4,FALSE,FALSE
"140",140,5.926,36.029,36,36,526570,14626.944,2198.98,13918,12137,20376,482.389,600.028,8.417,1.378,0.492,1.415,482.561,599.958,8.401,478,597,8,10,7,2,FALSE,FALSE
"141",141,67.492,138.389,410,263,10372139,25297.9,10728.484,23273.5,12105,61528,436.015,737.954,10.327,2.339,0.627,2.26,436.346,738.118,10.27,427,733,8,16,13,5,FALSE,FALSE
"142",142,42.964,96.433,261,164,6936163,26575.338,11763.75,24799,12118,58831,663.881,743.138,9.77,1.982,0.364,2.019,663.909,743.199,9.789,659,738,8,11,11,5,FALSE,FALSE
"143",143,9.548,43.441,58,53,984306,16970.793,3832.199,16029.5,12085,26836,675.276,754.034,9.81,1.167,0.384,1.25,675.27,754.103,9.791,673,750,8,6,8,4,FALSE,FALSE
"144",144,35.721,88.847,217,156,5090846,23460.119,8884.964,21888,12037,55272,696.359,758.069,9.244,1.893,0.513,1.818,696.448,758.03,9.22,689,755,8,15,7,4,FALSE,FALSE
"145",145,4.774,21.617,29,29,463749,15991.345,2621.183,15529,12264,22038,664.69,765.241,8.586,0.856,0.264,0.813,664.655,765.185,8.572,662,764,8,7,4,2,FALSE,FALSE
"146",146,15.803,47.37,96,92,1723167,17949.656,3745.812,17557.5,12149,29601,463.75,771.281,8.646,1.235,0.369,1.242,463.85,771.258,8.657,460,768,8,8,8,3,FALSE,FALSE
"147",147,21.729,57.784,132,95,3088515,23397.842,9609.302,20723.5,12192,51360,512.242,797.78,9.636,1.485,0.254,1.502,512.289,797.8,9.659,509,794,8,7,8,4,FALSE,FALSE
"148",148,23.375,68.402,142,129,2633779,18547.74,3853.544,18483,12065,27119,719.718,796.796,9.542,1.502,0.454,1.517,719.766,796.841,9.551,715,792,8,10,10,4,FALSE,FALSE
"149",149,44.94,94.743,273,167,8067381,29550.846,13824.165,26283,12120,65535,544.183,826.648,10.286,1.97,0.292,1.95,544.247,826.636,10.3,540,822,8,9,11,5,FALSE,FALSE
"150",150,15.968,55.645,97,93,1738333,17920.959,4199.48,17743,12041,31407,754.216,851.247,8.598,1.526,0.596,1.415,754.326,851.376,8.608,750,845,8,10,11,3,FALSE,FALSE
"151",151,23.211,68.505,141,117,2823190,20022.625,6538.568,18767,12054,39142,667.348,924.688,9.149,1.637,0.534,1.495,667.341,924.804,9.112,665,918,8,6,14,4,FALSE,FALSE
"152",152,26.338,69.298,160,119,3261037,20381.48,5536.948,19772.5,12137,33129,96.244,190.575,10.825,1.595,0.371,1.578,96.347,190.681,10.827,92,186,9,10,10,4,TRUE,TRUE
"153",153,19.754,54.611,120,95,2250774,18756.449,4623.335,18049.5,12157,30504,134.2,248.3,10.033,1.427,0.3,1.382,134.201,248.315,10.013,131,244,9,7,10,4,TRUE,FALSE
"154",154,32.264,79.916,196,157,4147342,21159.908,6809.832,19976.5,12055,50246,83.893,252.362,10.934,1.683,0.397,1.665,83.949,252.46,10.915,79,248,9,10,11,5,FALSE,FALSE
"155",155,2.634,15.343,16,16,236744,14796.5,1758.504,15072,12177,17812,202,353.875,9.375,0.709,0.183,0.71,202.034,353.909,9.361,200,353,9,5,3,2,TRUE,TRUE
"156",156,11.523,40.132,70,54,1598274,22832.486,8301.355,20543,12134,40914,231.171,400.657,10.886,1.212,0.203,1.191,231.15,400.685,10.861,228,398,9,7,6,4,TRUE,TRUE
"157",157,4.28,21.272,26,25,399028,15347.23,2660.591,14519.5,12132,20533,367.5,436.115,9.769,0.794,0.211,0.807,367.452,436.157,9.797,365,434,9,5,5,3,FALSE,FALSE
"158",158,10.865,38.442,66,57,1385142,20987,6523.998,20474.5,12243,38299,404.894,513.303,10.697,1.155,0.272,1.159,404.812,513.25,10.652,402,511,9,7,6,4,FALSE,FALSE
"159",159,17.614,54.026,107,86,2360756,22063.141,7623.738,20344,12064,40884,253.654,576,10.776,1.399,0.329,1.428,253.632,576.032,10.729,251,572,9,6,9,4,FALSE,FALSE
"160",160,27.82,76.988,169,121,3752933,22206.705,9175.004,18090,12072,50108,242.686,581.852,10.467,1.745,0.387,1.687,242.725,581.992,10.455,240,576,9,7,12,4,FALSE,FALSE
"161",161,2.634,18.308,16,16,217176,13573.5,1295.683,13181.5,12072,16405,314.438,634.25,9.125,0.795,0.331,0.799,314.387,634.252,9.12,312,633,9,6,4,2,FALSE,FALSE
"162",162,30.618,82.366,186,140,3928664,21121.85,7311.805,19439,12206,41994,545.414,645.011,10.527,1.68,0.342,1.682,545.478,644.901,10.504,540,641,9,12,9,4,TRUE,FALSE
"163",163,11.523,41.752,70,61,1258495,17978.5,4434.327,17021.5,12661,30179,625.2,693.814,10.329,1.19,0.321,1.217,625.173,693.848,10.344,621,691,9,9,6,4,FALSE,FALSE
"164",164,23.211,61.716,141,91,4128986,29283.588,14171.973,25484,12157,65535,641.723,720.539,10.922,1.625,0.306,1.549,641.715,720.595,10.918,638,717,9,7,8,5,FALSE,FALSE
"165",165,27.491,75.643,167,122,3678445,22026.617,7945.298,20451,12052,41834,480.886,769.94,10.671,1.616,0.326,1.644,480.789,770.004,10.69,477,765,9,9,10,4,FALSE,FALSE
"166",166,15.638,49.234,95,75,2095880,22061.895,7346.819,21060,12107,41139,699.042,772.905,10.737,1.319,0.279,1.335,699.085,772.863,10.694,695,770,9,8,7,4,FALSE,FALSE
"167",167,11.852,40.132,72,57,1562064,21695.334,7780.723,20402.5,12735,39790,608.667,881.847,10.736,1.23,0.284,1.249,608.668,881.778,10.717,606,879,9,6,7,4,FALSE,FALSE
"168",168,4.115,20.135,25,25,376535,15061.4,1824.213,14870,12119,19872,711.2,913.36,9.68,0.782,0.205,0.813,711.212,913.374,9.692,709,912,9,5,4,2,FALSE,FALSE
"169",169,2.305,14.998,14,14,187782,13413,1285.45,13027.5,12073,16494,119.857,148.214,10.643,0.721,0.196,0.743,119.87,148.158,10.647,118,147,10,5,4,2,TRUE,FALSE
"170",170,5.597,26.031,34,30,547962,16116.529,3222.823,15087.5,12113,24897,121.676,200.765,10.794,0.965,0.238,0.958,121.674,200.742,10.811,120,198,10,4,6,3,TRUE,TRUE
"171",171,2.14,12.274,13,13,178268,13712.923,1023.856,13254,12698,16091,214.462,208.846,10.462,0.643,0.107,0.652,214.455,208.835,10.444,213,208,10,4,3,2,TRUE,TRUE
"172",172,1.811,13.067,11,11,157142,14285.637,1459.336,14160,12230,16521,205.727,218.545,10.273,0.639,0.203,0.729,205.71,218.544,10.247,204,217,10,4,4,2,TRUE,TRUE
"173",173,26.667,79.16,162,120,2962123,18284.709,5102.682,16941,12116,33500,142.556,284.352,11.327,1.772,0.51,1.728,142.591,284.274,11.314,139,278,10,7,14,4,TRUE,TRUE
"174",174,7.243,28.099,44,41,769200,17481.818,4180.572,16073,12095,28811,214.568,283.705,10.682,0.974,0.24,0.973,214.603,283.672,10.657,213,281,10,5,7,3,TRUE,TRUE
"175",175,22.058,60.404,134,95,3073076,22933.402,9103.632,19715.5,12085,46003,144.351,304.657,11.627,1.545,0.27,1.567,144.265,304.57,11.616,142,300,10,7,10,4,TRUE,TRUE
"176",176,9.054,32.65,55,52,1000288,18187.055,4380.737,17749,12047,29857,228.218,349.455,10.655,1.01,0.286,1.008,228.2,349.404,10.628,226,347,10,5,6,3,TRUE,TRUE
