"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"254",254,21.564,68.127,131,106,2679426,20453.633,6265.082,18438,13275,39705,609.725,417.672,13.939,1.598,0.496,1.504,609.494,417.558,13.893,606,413,12,11,10,4,TRUE,FALSE
"255",255,15.803,52.784,96,85,1870057,19479.76,4601.438,18757,13308,31678,760.375,424.188,13.448,1.292,0.425,1.368,760.253,424.214,13.441,757,421,12,9,7,4,FALSE,FALSE
"256",256,12.017,42.648,73,62,1515353,20758.26,6525.883,19112,13259,40333,715.068,436.836,12.986,1.242,0.294,1.236,715.222,436.785,12.991,711,434,12,8,6,3,FALSE,FALSE
"257",257,32.1,78.126,195,127,6094558,31254.145,14058.059,28189,13298,65535,530.913,446.185,13.733,1.751,0.262,1.743,530.894,446.191,13.744,527,442,12,9,9,5,FALSE,FALSE
"258",258,12.675,50.716,77,70,1339016,17389.818,3108.586,16572,13398,26468,606.753,448.182,13.883,1.46,0.58,1.294,606.748,448.169,13.86,605,442,12,5,12,5,TRUE,FALSE
"259",259,11.688,43.545,71,61,1449932,20421.578,5576.366,19210,13340,39175,710.408,446.845,13.183,1.294,0.41,1.278,710.364,446.988,13.169,708,443,12,6,9,4,FALSE,FALSE
"260",260,25.021,74.713,152,118,3185544,20957.525,5399.932,20233,13338,35311,650.151,557.316,13.684,1.604,0.423,1.659,650.112,557.411,13.665,647,552,12,7,11,4,FALSE,FALSE
"261",261,8.889,34.202,54,44,1365032,25278.371,8806.799,24276,13331,49098,535.074,566.204,14.037,1.138,0.255,1.114,535.048,566.162,14.004,533,564,12,6,5,5,FALSE,FALSE
"262",262,2.305,14.55,14,14,217006,15500.429,1511.353,15199,13272,18470,523.071,569.5,12.643,0.79,0.3,0.77,523.087,569.523,12.643,522,566,12,3,6,2,FALSE,FALSE
"263",263,26.503,71.37,161,104,3802855,23620.217,8410.127,22521,13246,45368,710.478,583.031,13.981,1.703,0.325,1.679,710.405,583.117,13.971,707,578,12,7,10,5,FALSE,FALSE
"264",264,31.771,80.194,193,136,4392352,22758.301,7564.837,20954,13238,45260,623.451,587.798,13.793,1.684,0.299,1.717,623.643,587.839,13.758,619,583,12,10,11,4,TRUE,FALSE
"265",265,25.68,66.093,156,109,3833941,24576.545,8420.368,22030.5,13347,47126,630.897,626.218,13.519,1.608,0.229,1.617,630.862,626.215,13.49,628,622,12,9,9,4,FALSE,FALSE
"266",266,3.457,20.238,21,21,349488,16642.285,1869.046,16705,13537,20019,543.095,681.619,13.19,0.877,0.38,0.791,543.081,681.658,13.19,542,678,12,4,7,3,FALSE,FALSE
"267",267,31.441,83.366,191,138,4074047,21330.09,6517.535,19765,13233,42384,619.791,754.152,13.45,1.732,0.408,1.7,619.766,754.294,13.479,616,748,12,8,12,5,TRUE,FALSE
