Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
191	334	191	145	21583	113.000	0.000	113.000	113	113	902.487	342.901	5.948	3.529	1.073	3.449	902.487	342.901	5.948	897	339	4	11	10	6
75	138	75	57	8550	114.000	0.000	114.000	114	114	881.080	345.267	5.400	2.256	0.411	2.241	881.080	345.267	5.400	878	343	4	7	6	4
78	194	78	75	171132	2194.000	0.000	2194.000	2194	2194	847.936	344.936	5.641	2.773	0.982	2.844	847.936	344.936	5.641	844	342	4	9	7	5
85	148	85	64	10030	118.000	0.000	118.000	118	118	889.941	347.471	5.694	2.398	0.499	2.444	889.941	347.471	5.694	887	345	4	7	6	4
353	648	353	276	40948	116.000	0.000	116.000	116	116	760.983	345.479	8.246	4.852	1.877	4.611	760.983	345.479	8.246	754	340	4	16	12	10
236	440	236	193	28084	119.000	0.000	119.000	119	119	780.280	351.208	6.343	3.987	1.352	4.037	780.280	351.208	6.343	774	346	4	13	12	7
404	754	404	293	56396	139.594	349.113	115.000	115	5083	736.045	350.522	7.327	5.120	2.030	4.822	736.654	350.430	7.974	728	345	4	17	14	8
108	230	108	100	237708	2201.000	0.000	2201.000	2201	2201	839.620	347.324	5.889	2.913	0.961	2.924	839.620	347.324	5.889	836	343	4	8	9	5
61	118	61	51	7442	122.000	0.000	122.000	122	122	917.607	351.279	5.607	2.079	0.461	1.986	917.607	351.279	5.607	915	350	4	6	5	5
229	402	229	168	29541	129.000	0.000	129.000	129	129	893.948	354.620	6.109	3.669	1.139	3.584	893.947	354.620	6.109	889	350	4	11	11	6
317	490	317	208	41210	130.000	0.000	130.000	130	130	905.675	355.249	7.587	3.989	0.916	3.916	905.675	355.249	7.587	901	351	4	10	10	10
201	296	201	138	25125	125.000	0.000	125.000	125	125	836.975	355.274	5.617	3.519	1.082	3.406	836.975	355.274	5.617	833	352	4	10	9	6
180	358	180	139	23040	128.000	0.000	128.000	128	128	870.239	354.022	6.494	3.399	1.089	3.302	870.239	354.022	6.494	863	350	4	12	9	7
139	274	139	111	17653	127.000	0.000	127.000	127	127	853.763	354.676	5.806	3.487	1.385	3.428	853.763	354.676	5.806	848	351	4	11	8	6
168	286	168	116	22344	133.000	0.000	133.000	133	133	804.476	357.226	5.940	3.145	0.775	3.101	804.476	357.226	5.940	801	353	4	8	9	6
73	136	73	58	9563	131.000	0.000	131.000	131	131	923.041	355.041	5.644	2.227	0.473	2.260	923.041	355.041	5.644	921	352	4	6	7	4
238	488	238	200	148502	623.958	1003.101	134.000	134	2669	763.824	356.004	7.008	4.079	1.417	4.056	761.777	355.438	9.989	759	350	4	10	12	10
22	68	22	22	48466	2203.000	0.000	2203.000	2203	2203	848.682	357.182	5.727	1.693	0.591	1.740	848.682	357.182	5.727	846	357	4	6	2	4
118	216	118	93	15930	135.000	0.000	135.000	135	135	928.932	359.153	5.517	2.747	0.743	2.824	928.932	359.153	5.517	925	356	4	9	7	4
205	354	205	150	28085	137.000	0.000	137.000	137	137	796.683	360.610	6.063	3.401	0.864	3.430	796.683	360.610	6.063	792	356	4	9	10	7
262	544	262	217	36156	138.000	0.000	138.000	138	138	911.000	364.973	6.324	4.792	1.997	4.821	911.000	364.973	6.324	906	357	4	10	20	9
247	464	247	181	33592	136.000	0.000	136.000	136	136	772.555	359.826	7.182	3.754	1.021	3.750	772.555	359.826	7.182	769	356	4	9	9	9
546	860	546	392	80808	148.000	0.000	148.000	148	148	843.764	368.068	7.185	5.381	2.022	5.099	843.764	368.068	7.185	836	359	4	16	18	9
61	136	61	55	134505	2205.000	0.000	2205.000	2205	2205	919.131	360.607	6.082	2.082	0.549	2.123	919.131	360.607	6.082	917	358	4	6	6	5
56	116	56	48	99855	1783.125	223.564	1813.000	140	1813	859.268	362.089	5.821	2.004	0.488	2.075	859.289	362.074	5.852	858	360	4	4	6	5
138	256	138	104	19872	144.000	0.000	144.000	144	144	853.703	365.891	5.877	3.127	1.096	2.978	853.703	365.891	5.877	851	362	4	7	10	8
257	504	257	202	461729	1796.611	824.388	2206.000	143	2206	934.479	368.156	8.588	4.146	1.417	4.062	934.239	369.148	9.311	929	361	4	11	15	10
126	238	126	93	17766	141.000	0.000	141.000	141	141	816.214	364.762	6.659	2.880	0.724	2.870	816.214	364.762	6.659	813	361	4	8	9	6
249	448	249	182	35358	142.000	0.000	142.000	142	142	748.028	365.382	7.470	4.045	1.393	3.935	748.028	365.382	7.470	743	359	4	11	13	9
366	496	366	223	53436	146.000	0.000	146.000	146	146	731.372	365.915	6.973	4.356	1.271	4.309	731.371	365.915	6.973	726	360	4	12	11	8
46	100	46	36	6670	145.000	0.000	145.000	145	145	901.761	365.522	5.304	1.870	0.320	1.867	901.761	365.522	5.304	900	364	4	5	4	4
434	648	434	286	65100	150.000	0.000	150.000	150	150	919.742	367.175	7.399	4.691	1.472	4.624	919.743	367.175	7.399	913	360	4	15	13	9
255	404	255	173	41603	163.149	257.879	147.000	147	4265	806.416	367.455	6.800	4.058	1.335	4.049	806.574	367.311	7.117	800	364	4	13	8	9
141	278	141	110	21009	149.000	0.000	149.000	149	149	880.191	368.007	5.702	3.173	1.056	3.104	880.191	368.007	5.702	876	364	4	9	10	5
298	534	298	207	44998	151.000	0.000	151.000	151	151	826.899	370.517	7.738	4.325	1.482	4.214	826.900	370.517	7.738	819	365	4	15	14	9
347	570	347	258	53785	155.000	0.000	155.000	155	155	865.297	370.939	6.830	4.754	1.908	4.470	865.298	370.940	6.830	859	367	4	17	10	9
49	162	49	48	108826	2220.939	990.595	2686.000	154	2686	959.816	369.571	6.204	2.405	0.975	2.321	960.080	369.714	6.573	958	365	4	5	8	5
295	546	295	233	49654	168.319	194.404	157.000	157	3496	856.292	376.549	6.078	4.398	1.514	4.517	856.338	376.310	6.274	850	371	4	13	14	9
51	116	51	48	137547	2697.000	0.000	2697.000	2697	2697	961.922	375.176	7.059	1.993	0.639	2.009	961.921	375.177	7.059	960	374	4	5	4	7
169	322	169	140	26702	158.000	0.000	158.000	158	158	749.438	375.846	5.740	3.538	1.344	3.671	749.438	375.846	5.740	744	372	4	13	9	5
303	552	303	243	50595	166.980	0.345	167.000	161	167	700.587	379.743	6.601	4.445	1.698	4.394	700.588	379.743	6.601	693	374	4	15	12	8
134	218	134	97	21440	160.000	0.000	160.000	160	160	810.187	378.164	6.433	2.924	0.818	2.862	810.187	378.164	6.433	806	376	4	10	5	6
249	558	249	215	439681	1765.787	1229.400	2705.000	163	2705	922.968	381.442	8.880	4.191	1.442	4.079	922.558	382.411	10.486	918	375	4	11	14	10
179	310	179	129	28998	162.000	0.000	162.000	162	162	889.810	379.989	6.615	3.357	0.980	3.296	889.810	379.989	6.615	886	376	4	8	8	9
315	526	315	229	53858	170.978	0.394	171.000	164	171	962.638	382.962	8.076	4.026	1.151	4.053	962.638	382.962	8.077	958	378	4	12	10	9
220	358	220	147	37180	169.000	0.000	169.000	169	169	868.645	381.877	6.827	3.566	0.977	3.426	868.645	381.877	6.827	865	377	4	11	11	7
434	772	434	311	75082	173.000	0.000	173.000	173	173	896.359	384.977	7.675	4.906	1.708	4.695	896.358	384.977	7.675	887	378	4	18	14	9
556	880	556	379	93408	168.000	0.000	168.000	168	168	834.590	382.498	6.809	5.915	2.411	5.533	834.590	382.498	6.809	825	374	4	21	18	9
294	592	294	229	244590	831.939	104.732	834.000	165	2213	880.680	382.541	7.983	4.222	1.525	4.163	880.674	382.523	8.010	875	375	4	10	15	9
364	530	364	233	63700	175.000	0.000	175.000	175	175	807.566	386.088	8.113	4.247	1.219	4.196	807.567	386.088	8.113	802	382	4	12	12	10
72	162	72	66	12384	172.000	0.000	172.000	172	172	716.472	381.944	5.708	2.471	0.975	2.490	716.472	381.944	5.708	712	379	4	10	7	4
77	160	77	57	13398	174.000	0.000	174.000	174	174	783.247	384.753	6.026	2.353	0.558	2.260	783.247	384.753	6.026	781	382	4	6	7	6
221	356	221	162	40001	181.000	0.000	181.000	181	181	773.842	387.457	6.027	3.608	1.081	3.552	773.841	387.457	6.027	768	383	4	12	9	5
332	572	332	239	60756	183.000	0.000	183.000	183	183	931.867	387.636	6.229	4.589	1.668	4.460	931.869	387.636	6.229	925	378	4	14	18	6
337	510	337	232	62345	185.000	0.000	185.000	185	185	853.985	389.944	6.228	4.338	1.400	4.231	853.984	389.944	6.228	847	384	4	14	11	9
112	204	112	89	19936	178.000	0.000	178.000	178	178	914.027	387.312	6.464	2.671	0.672	2.593	914.027	387.312	6.464	912	385	4	6	6	7
265	482	265	203	579255	2185.868	1030.016	2712.000	177	2712	707.789	387.000	8.589	4.364	1.534	4.548	708.806	386.698	9.299	702	382	4	12	12	10
76	148	76	62	13604	179.000	0.000	179.000	179	179	742.184	387.658	5.908	2.298	0.620	2.277	742.184	387.658	5.908	739	386	4	7	5	5
274	524	274	219	49868	182.000	0.000	182.000	182	182	792.015	385.489	7.263	4.104	1.355	4.199	792.015	385.489	7.263	788	380	4	9	12	9
248	338	248	160	46128	186.000	0.000	186.000	186	186	905.464	390.137	6.589	3.723	1.028	3.527	905.463	390.137	6.589	900	385	4	11	9	7
775	1030	775	468	151900	196.000	0.000	196.000	196	196	960.778	396.443	7.679	5.886	1.819	5.709	960.774	396.443	7.679	952	389	4	19	17	9
489	896	489	378	91932	188.000	0.000	188.000	188	188	716.661	392.885	7.609	5.239	2.022	5.014	716.661	392.885	7.609	710	386	4	18	15	10
85	156	85	65	16150	190.000	0.000	190.000	190	190	817.071	393.235	5.388	2.479	0.677	2.442	817.071	393.235	5.388	814	391	4	7	6	5
80	174	80	68	15280	191.000	0.000	191.000	191	191	842.850	393.513	5.662	2.447	0.773	2.408	842.850	393.513	5.662	839	391	4	8	6	5
1025	1338	1025	571	202950	198.000	0.000	198.000	198	198	751.779	394.304	8.700	6.605	1.962	6.310	751.780	394.305	8.700	741	382	4	21	21	11
142	288	142	119	27406	193.000	0.000	193.000	193	193	771.092	394.887	5.993	3.279	1.297	3.114	771.092	394.887	5.993	768	392	4	12	9	5
247	424	247	178	48659	197.000	0.000	197.000	197	197	731.016	395.413	7.101	3.848	1.197	3.714	731.016	395.413	7.101	726	391	4	12	9	10
210	334	210	150	40950	195.000	0.000	195.000	195	195	762.743	395.557	6.881	3.442	0.838	3.417	762.743	395.557	6.881	760	392	4	7	10	9
294	622	294	247	475394	1616.986	931.640	2225.000	194	2225	870.554	394.051	7.136	4.740	1.754	4.683	868.708	394.156	7.777	863	388	4	17	12	9
144	252	144	107	28944	201.000	0.000	201.000	201	201	922.174	396.972	5.701	3.087	0.947	2.895	922.173	396.972	5.701	917	393	4	10	8	6
336	490	336	224	68208	203.000	0.000	203.000	203	203	902.283	398.036	6.557	4.116	1.056	4.056	902.284	398.036	6.557	898	392	4	10	12	9
484	718	484	330	97768	202.000	0.000	202.000	202	202	687.756	397.277	7.452	4.955	1.538	4.887	687.754	397.277	7.452	681	389	4	15	14	10
166	334	166	126	47933	288.753	656.188	200.000	200	5111	796.434	397.126	7.163	3.182	0.903	3.045	796.505	396.575	8.445	793	394	4	9	7	9
142	212	142	93	29252	206.000	0.000	206.000	206	206	831.613	399.331	6.254	2.879	0.470	2.851	831.613	399.331	6.254	829	396	4	6	8	6
329	664	329	270	854865	2598.374	214.882	2723.000	2229	2723	891.587	397.936	8.386	4.333	1.461	4.307	891.403	398.035	8.442	887	392	4	12	16	10
128	296	128	110	26621	207.977	0.265	208.000	205	208	804.039	399.016	6.070	3.479	1.497	3.158	804.039	399.016	6.071	799	392	4	10	13	5
79	158	79	63	16748	212.000	0.000	212.000	212	212	885.456	402.139	5.165	2.311	0.623	2.262	885.456	402.139	5.165	883	399	4	7	7	4
96	186	96	73	20064	209.000	0.000	209.000	209	209	813.250	402.354	5.531	2.683	0.907	2.656	813.250	402.354	5.531	810	399	4	10	7	4
301	410	301	186	64113	213.000	0.000	213.000	213	213	973.236	404.601	7.804	3.894	0.900	3.929	973.236	404.601	7.804	969	400	4	9	10	10
61	112	61	50	12810	210.000	0.000	210.000	210	210	824.426	400.869	5.951	2.076	0.496	2.120	824.426	400.869	5.951	822	399	4	6	5	4
438	682	438	312	97048	221.571	158.444	214.000	214	3530	863.970	403.662	7.068	4.726	1.607	4.806	864.075	403.639	7.134	857	396	4	13	15	10
332	520	332	215	71380	215.000	0.000	215.000	215	215	928.069	403.090	7.729	4.106	1.052	3.990	928.070	403.090	7.729	925	397	4	9	12	8
140	282	140	110	53028	378.771	682.238	218.000	218	5121	942.129	406.571	6.071	3.199	1.060	2.924	942.968	405.717	7.594	938	403	4	9	8	8
