Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
439	568	439	255	145309	331.000	0.000	331.000	331	331	450.706	601.424	5.651	4.517	1.110	4.527	450.707	601.424	5.651	445	597	2	12	10	11
6	28	6	6	1992	332.000	0.000	332.000	332	332	306.833	604.833	2.667	1.117	0.549	1.069	306.833	604.833	2.667	306	603	2	2	4	2
150	224	150	109	49950	333.000	0.000	333.000	333	333	323.727	606.907	4.413	2.923	0.583	2.917	323.727	606.906	4.413	321	605	2	7	6	6
775	932	775	447	1822800	2352.000	0.000	2352.000	2352	2352	309.086	608.392	8.435	5.550	1.490	5.684	309.087	608.392	8.435	301	603	2	14	14	15
277	368	277	188	93072	336.000	0.000	336.000	336	336	316.307	610.159	4.888	3.801	0.998	3.648	316.307	610.159	4.888	312	605	2	9	11	7
239	328	239	156	81021	339.000	0.000	339.000	339	339	368.314	612.360	4.464	3.590	0.829	3.516	368.314	612.360	4.464	365	609	2	9	9	8
331	484	331	231	111545	336.994	0.110	337.000	335	337	403.650	611.855	4.746	4.247	1.297	4.379	403.649	611.855	4.746	399	606	2	10	13	7
706	828	706	374	242158	343.000	0.000	343.000	343	343	345.547	615.174	6.028	5.341	1.274	5.249	345.547	615.175	6.028	339	608	2	14	15	11
293	406	293	184	99618	339.993	0.117	340.000	338	340	435.253	611.874	5.242	3.811	0.765	3.825	435.253	611.874	5.242	432	607	2	9	10	8
119	182	119	88	40698	342.000	0.000	342.000	342	342	296.084	613.975	4.563	2.655	0.482	2.652	296.084	613.975	4.563	294	611	2	6	6	7
674	876	674	428	229834	341.000	0.000	341.000	341	341	289.355	610.944	7.680	5.470	1.582	5.455	289.354	610.943	7.680	283	604	2	17	15	14
178	258	178	120	61232	344.000	0.000	344.000	344	344	385.427	615.382	4.101	3.129	0.660	3.120	385.427	615.382	4.101	382	611	2	8	9	6
989	1318	989	647	2661399	2691.000	0.000	2691.000	2691	2691	418.413	612.154	9.051	7.082	2.819	6.785	418.413	612.151	9.051	410	603	2	21	20	14
145	228	145	102	50315	347.000	0.000	347.000	347	347	429.000	616.531	4.531	2.917	0.618	2.905	429.000	616.531	4.531	426	613	2	9	8	6
54	110	54	50	18630	345.000	0.000	345.000	345	345	353.259	615.074	4.019	2.024	0.649	1.986	353.259	615.074	4.019	351	613	2	5	6	5
28	84	28	28	9688	346.000	0.000	346.000	346	346	416.821	616.000	3.607	2.230	1.011	2.103	416.821	616.000	3.607	413	616	2	9	1	5
2623	3176	2623	1456	8738275	3331.405	2811.635	5981.000	349	5981	331.193	625.284	12.770	8.475	2.721	8.682	330.302	627.338	16.817	318	616	2	25	23	24
