"","Volume..pixel.3.","Surface..pixel.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...pixel.","SD.dist..to.surf...pixel.","Median.dist..to.surf...pixel.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1013",6,26,6,6,6990,1165,0,1165,1165,1165,961.667,570,4.833,0.972,0.316,1.067,961.667,570,4.833,961,569,4,2,3,2,TRUE,FALSE
"1014",102,188,102,76,120239,1178.814,109.213,1168,1168,2271,950.706,574.137,5.441,2.723,0.844,2.551,950.727,574.127,5.465,946,572,4,10,5,5,FALSE,FALSE
"1015",5,26,5,5,6550,1310,131.453,1406,1166,1406,962.6,574,4.8,1.317,0.575,1.414,962.681,574.073,4.822,961,573,4,4,3,2,TRUE,TRUE
"1016",92,204,92,81,107732,1171,0,1171,1171,1171,1000.435,579.293,4.739,2.691,0.973,2.641,1000.435,579.294,4.739,998,574,4,6,11,3,FALSE,FALSE
"1017",8,34,8,8,9352,1169,0,1169,1169,1169,961.5,577.625,4.5,1.06,0.355,0.944,961.5,577.625,4.5,960,577,4,4,2,2,TRUE,FALSE
"1018",260,504,260,210,304720,1172,0,1172,1172,1172,900.873,581.685,5.935,4.149,1.571,4.079,900.873,581.685,5.935,895,575,4,13,13,6,FALSE,FALSE
"1019",127,266,127,101,148590,1170,0,1170,1170,1170,914.094,577.559,6.433,3.232,1.291,2.972,914.094,577.559,6.433,911,573,4,6,12,6,FALSE,FALSE
"1020",61,164,61,59,71614,1174,0,1174,1174,1174,938.771,584.246,4.459,2.469,1.029,2.307,938.771,584.246,4.459,935,581,4,8,9,3,TRUE,FALSE
"1021",294,564,294,214,344862,1173,0,1173,1173,1173,889.554,582.687,8.599,4.179,1.378,4.25,889.554,582.687,8.599,886,577,4,9,11,11,FALSE,FALSE
"1022",65,148,65,53,145496,2238.4,97.47,2272,1960,2272,997.308,582.877,8.954,2.368,0.92,2.216,997.321,582.847,9.007,995,581,4,6,5,8,FALSE,FALSE
"1023",19,60,19,19,22325,1175,0,1175,1175,1175,995.579,588.053,5.368,1.383,0.452,1.357,995.579,588.053,5.368,994,587,4,4,4,3,TRUE,FALSE
"1024",147,278,147,129,173460,1180,0,1180,1180,1180,945.925,593.558,5.02,3.448,1.281,3.436,945.926,593.558,5.02,943,588,4,8,11,4,FALSE,FALSE
"1025",87,148,87,67,170607,1961,0,1961,1961,1961,977.172,592.494,6.011,2.361,0.435,2.363,977.172,592.494,6.011,974,591,4,7,5,5,TRUE,TRUE
"1026",195,346,195,148,230684,1182.995,0.072,1183,1182,1183,1008.415,600.836,5.805,3.606,1.172,3.581,1008.416,600.836,5.805,1005,596,4,7,12,5,FALSE,FALSE
"1027",581,952,581,428,1442027,2481.974,578.539,2874,1638,3767,954.191,602.826,9.609,5.444,1.897,5.492,954.981,602.99,9.813,944,595,4,19,16,11,FALSE,FALSE
"1028",182,334,182,142,216371,1188.852,105.924,1181,1181,2610,998.725,599.505,8.28,3.841,1.164,4.023,998.734,599.529,8.285,996,596,4,7,8,11,FALSE,FALSE
"1029",181,264,181,125,214304,1184,0,1184,1184,1184,976.354,604.21,6.646,3.203,0.746,3.215,976.354,604.21,6.646,972,601,4,8,8,7,FALSE,FALSE
"1030",157,318,157,127,186045,1185,0,1185,1185,1185,996.057,609.178,7.924,3.637,1.19,3.646,996.056,609.178,7.924,993,604,4,7,10,11,FALSE,FALSE
"1031",231,310,231,141,378388,1638.043,29.739,1640,1188,1640,465.948,246.307,9.325,3.442,0.576,3.442,465.947,246.307,9.33,462,243,5,8,8,9,FALSE,FALSE
"1032",127,238,127,97,249809,1967,0,1967,1967,1967,512.724,250.591,8.866,2.922,0.806,2.906,512.725,250.591,8.866,509,248,5,8,6,9,FALSE,FALSE
"1033",199,410,199,161,337683,1696.9,257.488,1641,1641,2877,518.819,253.528,9.975,3.682,1.163,3.879,518.726,253.423,10.034,514,249,5,9,10,10,FALSE,FALSE
"1034",256,404,256,185,304384,1189,0,1189,1189,1189,623.809,264.664,8.633,3.702,1.011,3.698,623.808,264.664,8.633,619,261,5,9,9,9,FALSE,FALSE
"1035",521,658,521,332,619990,1190,0,1190,1190,1190,635.426,265.311,7.862,5.072,1.438,4.997,635.426,265.311,7.862,629,261,5,13,12,9,FALSE,FALSE
"1036",304,452,304,202,362976,1194,0,1194,1194,1194,621.566,274.993,9.49,4.087,1.315,4.225,621.566,274.993,9.49,617,271,5,11,9,11,FALSE,FALSE
"1037",192,324,192,140,272182,1417.615,23.311,1420,1191,1420,650.516,272.323,8.547,3.375,0.923,3.333,650.511,272.32,8.553,645,269,5,11,8,8,FALSE,FALSE
"1038",388,592,388,258,638898,1646.644,32.768,1649,1192,1649,667.621,272.74,9.621,4.521,1.449,4.399,667.625,272.738,9.627,659,269,5,15,9,11,FALSE,FALSE
"1039",366,544,366,241,437370,1195,0,1195,1195,1195,688.358,277.052,9.563,4.178,1.098,4.237,688.358,277.052,9.563,683,273,5,11,10,10,FALSE,FALSE
"1040",296,414,296,185,490176,1656,0,1656,1656,1656,397.47,280.912,9.01,3.819,0.758,3.855,397.47,280.912,9.01,394,276,5,8,10,9,FALSE,FALSE
"1041",195,314,195,139,233220,1196,0,1196,1196,1196,698.164,279.313,9.154,3.356,0.937,3.376,698.164,279.313,9.154,695,277,5,8,6,10,FALSE,FALSE
"1042",81,160,81,69,97281,1201,0,1201,1201,1201,527.062,289.111,6.519,2.461,0.729,2.368,527.062,289.111,6.519,524,286,5,8,7,4,TRUE,FALSE
"1043",91,176,91,75,109473,1203,0,1203,1203,1203,362.758,300.802,6.319,2.578,0.828,2.409,362.758,300.802,6.319,359,298,5,8,6,4,FALSE,FALSE
"1044",213,372,213,148,356775,1675,0,1675,1675,1675,478.93,303.493,10.286,3.548,1.021,3.38,478.93,303.493,10.286,475,299,5,9,10,10,FALSE,FALSE
"1045",79,144,79,62,95116,1204,0,1204,1204,1204,768.595,301.532,7.367,2.281,0.473,2.25,768.595,301.532,7.367,766,299,5,6,6,6,FALSE,FALSE
"1046",100,194,100,80,120600,1206,0,1206,1206,1206,665.77,307.61,6.53,2.78,0.931,2.705,665.77,307.61,6.53,664,304,5,5,9,4,FALSE,FALSE
"1047",184,318,184,141,222272,1208,0,1208,1208,1208,797.484,309.13,7.625,3.344,1.005,3.318,797.484,309.13,7.625,795,306,5,7,10,7,FALSE,FALSE
"1048",186,292,186,126,267468,1438,0,1438,1438,1438,804.489,309.823,8.527,3.291,0.864,3.292,804.489,309.823,8.527,802,307,5,7,8,8,FALSE,FALSE
"1049",6,28,6,6,10104,1684,0,1684,1684,1684,372.667,311.833,5.667,1.048,0.428,1.011,372.667,311.833,5.667,372,311,5,3,2,3,TRUE,TRUE
"1050",16,58,16,16,27008,1688,0,1688,1688,1688,374.5,314.812,5.75,1.518,0.551,1.512,374.5,314.812,5.75,373,313,5,4,4,3,TRUE,TRUE
"1051",84,168,84,72,101640,1210,0,1210,1210,1210,749.452,315.024,5.845,2.98,1.436,2.722,749.452,315.024,5.845,745,313,5,12,5,4,TRUE,TRUE
"1052",119,198,119,89,144109,1211,0,1211,1211,1211,556.504,319.21,6.395,2.748,0.659,2.736,556.504,319.21,6.395,554,316,5,6,8,5,FALSE,FALSE
"1053",297,400,297,183,359964,1212,0,1212,1212,1212,835.185,318.377,8.172,4.01,1.108,3.922,835.186,318.377,8.172,828,315,5,14,8,7,FALSE,FALSE
"1054",20,70,20,20,24260,1213,0,1213,1213,1213,412.05,320.45,5.55,1.515,0.51,1.535,412.05,320.45,5.55,410,319,5,4,5,3,FALSE,FALSE
"1055",274,472,274,209,332910,1215,0,1215,1215,1215,705.252,324.518,6.307,4.613,2.016,4.29,705.252,324.519,6.307,698,320,5,18,11,5,FALSE,FALSE
"1056",129,212,129,91,219429,1701,0,1701,1701,1701,395.054,325.899,7.465,2.772,0.485,2.717,395.054,325.899,7.465,392,323,5,8,6,7,FALSE,FALSE
"1057",249,372,249,168,303033,1217,0,1217,1217,1217,333.06,326.626,8.157,3.892,1.257,3.83,333.06,326.626,8.157,327,322,5,11,10,8,TRUE,FALSE
"1058",11,44,11,11,13409,1219,0,1219,1219,1219,795.364,327.909,5,1.679,0.665,1.872,795.364,327.909,5,794,326,5,4,5,1,FALSE,FALSE
"1059",7,32,7,7,8540,1220,0,1220,1220,1220,800.286,332.857,5.286,0.995,0.36,0.948,800.286,332.857,5.286,799,332,5,3,3,2,FALSE,FALSE
