 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
592	189	312	189	139	95067	503	0	503	503	503	318.153	89.196	12.032	4.272	1.754	4.183	318.154	89.196	12.032	312	83	10	12	12	5
593	318	516	318	227	161226	507	0	507	507	507	529.242	132.569	12.657	5.314	1.878	5.314	529.243	132.569	12.657	524	123	10	14	17	8
594	154	244	154	107	91014	591	0	591	591	591	508.987	147.299	12.870	3.136	0.945	3.090	508.987	147.299	12.870	505	144	10	10	8	7
595	1026	1116	1026	586	620730	605	0	605	605	605	315.777	238.777	13.126	7.420	3.171	7.000	315.777	238.777	13.126	305	228	10	20	29	7
596	172	314	172	135	92192	536	0	536	536	536	623.988	251.215	11.977	4.215	1.602	4.391	623.988	251.215	11.977	618	245	10	12	13	5
597	265	412	265	187	160855	607	0	607	607	607	570.457	259.853	12.558	4.797	2.038	4.724	570.457	259.853	12.558	562	257	10	18	7	6
598	334	418	334	191	204074	611	0	611	611	611	913.952	288.114	13.371	4.339	1.410	4.019	913.952	288.114	13.371	906	284	10	15	8	7
599	394	542	394	258	243098	617	0	617	617	617	455.315	312.429	12.840	5.565	2.330	5.293	455.314	312.429	12.840	446	304	10	18	18	7
600	270	348	270	163	181710	673	0	673	673	673	186.230	357.711	13.896	3.758	0.842	3.656	186.229	357.711	13.896	183	352	10	7	13	10
601	1492	1042	1492	595	1016052	681	0	681	681	681	131.895	411.277	14.530	6.932	1.652	7.351	131.894	411.277	14.530	124	403	10	17	18	10
602	1107	988	1107	527	779328	704	0	704	704	704	115.154	413.208	14.869	6.483	1.745	6.876	115.154	413.208	14.869	106	405	10	17	18	9
603	262	476	262	212	178946	683	0	683	683	683	48.927	427.225	14.240	4.782	1.941	4.520	48.927	427.225	14.240	42	422	10	15	13	10
604	1536	1050	1536	605	1053696	686	0	686	686	686	252.652	438.787	13.737	6.992	1.572	7.319	252.653	438.787	13.737	244	430	10	19	19	9
605	535	776	535	351	377175	705	0	705	705	705	476.938	437.419	13.905	5.812	2.176	5.721	476.939	437.419	13.905	471	426	10	15	20	9
606	198	262	198	134	127512	644	0	644	644	644	524.742	436.545	13.227	3.366	0.876	3.385	524.742	436.545	13.227	520	433	10	9	8	6
607	163	262	163	114	92584	568	0	568	568	568	431.417	459.387	11.730	3.213	0.968	3.256	431.417	459.387	11.730	427	455	10	10	9	5
608	763	762	763	408	541730	710	0	710	710	710	174.911	500.768	15.254	5.682	1.688	5.958	174.911	500.768	15.254	168	493	10	18	16	9
609	443	578	443	277	257826	582	0	582	582	582	524.677	112.377	13.151	4.922	1.542	5.039	524.678	112.377	13.151	519	105	11	13	15	5
610	167	246	167	111	98196	588	0	588	588	588	534.377	127.719	13.365	3.129	0.669	3.168	534.377	127.719	13.365	531	124	11	7	8	7
611	212	354	212	148	124868	589	0	589	589	589	481.571	131.797	13.467	3.733	1.289	3.472	481.571	131.797	13.467	475	128	11	14	10	7
612	285	368	285	178	186675	655	0	655	655	655	182.498	204.161	14.098	4.144	1.356	3.982	182.499	204.161	14.098	179	197	11	7	13	8
613	252	392	252	186	151452	601	0	601	601	601	431.905	208.929	12.940	4.401	2.029	4.051	431.905	208.929	12.940	427	202	11	10	17	6
614	1424	1020	1424	576	934144	656	0	656	656	656	15.636	206.310	14.508	6.832	1.693	7.185	15.636	206.310	14.508	6	198	11	20	18	9
615	776	684	776	416	510608	658	0	658	658	658	498.494	237.354	14.044	5.666	1.626	5.737	498.494	237.354	14.044	492	229	11	12	17	7
616	351	528	351	258	213408	608	0	608	608	608	359.866	262.670	13.077	4.628	1.576	4.805	359.866	262.670	13.077	355	256	11	10	14	6
617	177	274	177	122	107793	609	0	609	609	609	539.147	269.921	13.051	3.326	1.001	3.222	539.147	269.921	13.051	535	264	11	9	11	5
618	628	622	628	340	416364	663	0	663	663	663	236.887	276.412	13.771	5.304	1.568	5.240	236.887	276.412	13.771	229	271	11	18	11	7
619	422	580	422	284	281474	667	0	667	667	667	210.076	300.611	13.585	5.223	1.935	5.157	210.076	300.611	13.585	205	292	11	12	18	6
620	176	260	176	121	117920	670	0	670	670	670	674.244	333.528	13.574	3.481	1.237	3.183	674.245	333.528	13.574	668	329	11	12	9	6
621	173	268	173	125	109336	632	0	632	632	632	603.775	383.006	13.098	3.401	1.176	3.227	603.775	383.006	13.098	598	379	11	12	8	5
622	405	502	405	261	272970	674	0	674	674	674	57.437	383.879	13.672	4.560	1.394	4.691	57.437	383.879	13.672	51	378	11	15	12	6
623	161	234	161	115	102074	634	0	634	634	634	602.826	391.553	13.565	3.162	0.921	3.105	602.826	391.553	13.565	598	389	11	10	7	5
624	1173	894	1173	514	794121	677	0	677	677	677	341.895	403.853	13.876	6.457	1.599	6.712	341.895	403.853	13.876	333	396	11	19	17	7
625	169	326	169	136	107991	639	0	639	639	639	649.325	403.183	13.130	3.617	1.300	3.632	649.326	403.183	13.130	644	398	11	10	11	6
626	291	578	291	248	186240	640	0	640	640	640	207.460	418.505	12.924	5.218	2.051	5.258	207.460	418.505	12.924	199	412	11	16	16	5
627	164	276	164	122	105944	646	0	646	646	646	88.329	474.866	12.720	3.707	1.420	3.542	88.329	474.866	12.720	85	469	11	7	13	5
628	1255	952	1255	531	888540	708	0	708	708	708	234.724	482.598	15.132	6.545	1.650	6.926	234.723	482.598	15.132	226	474	11	18	18	8
629	179	258	179	128	116350	650	0	650	650	650	666.587	104.704	14.050	3.308	1.022	3.291	666.586	104.704	14.050	662	102	12	11	7	5
630	724	712	724	373	502456	694	0	694	694	694	115.315	227.604	15.090	5.517	1.448	5.726	115.315	227.604	15.090	108	221	12	15	15	8
631	163	248	163	116	107906	662	0	662	662	662	531.791	266.767	13.798	3.223	0.903	3.232	531.792	266.767	13.798	527	263	12	9	9	5
632	821	802	821	433	571416	696	0	696	696	696	507.716	273.616	14.848	6.144	2.202	6.054	507.719	273.616	14.848	494	266	12	25	15	6
633	186	284	186	130	123504	664	0	664	664	664	544.742	276.737	13.457	3.415	1.106	3.290	544.742	276.737	13.457	539	273	12	12	9	5
634	184	278	184	120	123464	671	0	671	671	671	575.918	351.413	14.391	3.442	1.058	3.193	575.919	351.413	14.391	572	347	12	9	12	6
635	154	236	154	115	103950	675	0	675	675	675	54.318	393.961	14.130	3.189	0.992	2.913	54.318	393.961	14.130	50	391	12	11	6	5
636	503	578	503	300	353609	703	0	703	703	703	77.527	397.918	14.891	4.876	1.629	5.000	77.527	397.918	14.891	69	392	12	16	12	6
637	166	244	166	120	112714	679	0	679	679	679	359.343	406.313	13.657	3.340	1.091	3.190	359.344	406.313	13.657	353	403	12	12	7	4
638	173	314	173	132	123695	715	0	715	715	715	169.931	126.168	16.069	3.737	1.322	3.791	169.931	126.168	16.069	166	120	13	9	12	7
639	175	248	175	116	124600	712	0	712	712	712	199.389	374.897	15.417	3.172	0.735	3.130	199.389	374.897	15.417	195	372	13	9	8	6
640	205	312	205	148	146780	716	0	716	716	716	131.254	464.059	16.400	3.746	1.368	3.509	131.254	464.059	16.400	125	458	13	11	12	7
641	266	382	266	184	188594	709	0	709	709	709	243.955	493.658	15.259	4.255	1.628	4.014	243.955	493.658	15.259	237	489	13	14	12	6
