 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
84	1415	1048	1415	629	175460	124	0	124	124	124	517.762	158.567	6.671	6.962	1.926	7.247	517.766	158.567	6.671	508	150	3	19	18	8
85	2012	1246	2012	836	253512	126	0	126	126	126	255.971	164.380	7.120	7.951	2.053	8.350	255.975	164.380	7.120	246	155	3	20	20	9
86	775	578	775	416	96875	125	0	125	125	125	273.570	163.559	6.947	5.591	1.437	5.449	273.569	163.559	6.947	267	160	3	15	8	8
87	1147	818	1147	523	60791	53	0	53	53	53	461.648	166.313	6.410	6.364	1.546	6.525	461.645	166.313	6.410	454	158	3	14	17	8
88	979	852	979	516	52866	54	0	54	54	54	411.126	171.148	6.083	6.258	1.879	6.590	411.126	171.148	6.083	403	163	3	17	18	7
89	1277	1002	1277	570	164733	129	0	129	129	129	335.721	173.969	6.712	6.674	1.853	7.145	335.719	173.969	6.712	327	164	3	19	19	8
90	2590	1668	2590	1171	336700	130	0	130	130	130	273.142	176.188	6.931	10.588	4.507	9.788	273.137	176.188	6.931	255	169	3	39	15	9
91	1312	1026	1312	615	171872	131	0	131	131	131	391.657	178.152	6.703	6.884	1.988	7.252	391.659	178.152	6.703	380	169	3	22	19	7
92	1455	1064	1455	682	85845	59	0	59	59	59	520.460	183.493	6.394	7.538	2.485	7.058	520.464	183.493	6.394	508	178	3	26	11	8
93	3073	2124	3073	1383	414855	135	0	135	135	135	280.064	195.066	6.815	11.129	4.427	11.215	280.067	195.066	6.815	265	183	3	30	35	8
94	2733	1802	2733	1163	371688	136	0	136	136	136	260.226	196.684	6.915	9.396	2.885	9.857	260.226	196.684	6.915	247	185	3	26	25	8
95	2543	1426	2543	880	348391	137	0	137	137	137	515.876	197.708	7.062	8.485	2.073	8.629	515.875	197.708	7.062	506	190	3	24	20	10
96	2770	1882	2770	1187	387800	140	0	140	140	140	595.422	209.561	6.560	10.293	3.933	10.197	595.431	209.561	6.560	585	190	3	21	38	8
97	1380	1128	1380	657	88320	64	0	64	64	64	434.272	205.240	5.590	7.289	2.390	7.510	434.272	205.240	5.590	423	196	3	26	19	6
98	230	280	230	136	690	3	0	3	3	3	539.261	219.622	5.213	3.489	0.746	3.538	539.261	219.622	5.213	535	216	3	10	8	5
99	929	864	929	494	133776	144	0	144	144	144	560.870	220.469	7.220	6.424	2.236	6.234	560.870	220.469	7.220	554	212	3	14	23	8
100	1837	1186	1837	736	270039	147	0	147	147	147	580.389	230.053	6.770	7.555	1.935	8.060	580.391	230.053	6.770	570	221	3	21	19	8
101	1298	1044	1298	588	189508	146	0	146	146	146	322.728	229.057	6.936	6.856	2.019	7.183	322.726	229.057	6.936	311	220	3	22	18	8
102	1496	1022	1496	631	221408	148	0	148	148	148	539.892	235.949	7.200	7.031	1.784	7.398	539.887	235.949	7.200	531	228	3	21	16	9
103	2116	1520	2116	951	141772	67	0	67	67	67	397.464	237.308	6.495	8.870	3.101	8.603	397.467	237.308	6.495	390	223	3	19	31	8
104	2372	1476	2372	886	358172	151	0	151	151	151	365.470	239.229	6.589	8.504	2.436	8.812	365.471	239.229	6.589	350	229	3	26	21	9
105	2058	1386	2058	837	139944	68	0	68	68	68	521.569	241.307	6.501	8.152	2.347	8.353	521.568	241.307	6.501	512	229	3	20	28	8
106	869	778	869	464	132957	153	0	153	153	153	386.175	240.578	6.751	6.700	2.884	5.957	386.174	240.578	6.751	382	225	3	9	28	8
107	2385	1580	2385	982	362520	152	0	152	152	152	444.175	240.823	6.925	8.836	2.739	8.786	444.179	240.823	6.925	431	233	3	27	19	9
108	1869	1278	1869	822	128961	69	0	69	69	69	651.137	245.151	6.647	8.284	2.856	7.982	651.134	245.151	6.647	645	230	3	16	31	8
109	1855	1162	1855	736	289380	156	0	156	156	156	550.994	250.829	7.070	7.665	1.974	7.782	551.001	250.829	7.070	544	240	3	17	22	9
110	2414	1430	2414	941	383826	159	0	159	159	159	534.678	255.779	6.763	8.488	2.279	8.799	534.678	255.779	6.763	524	245	3	20	24	9
111	2608	1806	2608	1102	417280	160	0	160	160	160	614.115	254.744	7.167	9.499	3.188	9.615	614.115	254.744	7.167	599	242	3	31	26	9
112	2385	1716	2385	1049	374445	157	0	157	157	157	378.483	255.399	6.700	9.491	3.561	9.110	378.481	255.398	6.700	363	235	3	28	33	8
113	1277	912	1277	557	208151	163	0	163	163	163	639.128	259.962	7.085	6.594	1.589	6.970	639.129	259.963	7.085	631	252	3	17	17	8
114	1017	830	1017	508	160686	158	0	158	158	158	663.623	253.377	6.598	6.229	1.713	6.336	663.627	253.376	6.598	654	244	3	18	18	8
115	1637	1084	1637	681	116227	71	0	71	71	71	657.428	269.180	6.349	7.291	1.881	7.756	657.432	269.180	6.349	648	261	3	19	18	7
116	1376	1210	1376	715	225664	164	0	164	164	164	450.320	263.074	6.893	8.290	3.296	8.130	450.316	263.074	6.893	441	251	3	20	27	8
117	1835	1248	1835	735	304610	166	0	166	166	166	492.730	268.145	7.044	7.677	2.098	7.917	492.733	268.145	7.044	484	253	3	19	26	9
118	2288	1470	2288	929	377520	165	0	165	165	165	514.678	271.662	7.179	8.465	2.432	8.493	514.677	271.662	7.179	502	265	3	25	17	9
