 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
71	1647	1142	1647	713	60939	37	0	37	37	37	394.706	463.987	7.105	7.438	2.114	7.544	394.703	463.987	7.105	386	453	4	17	23	7
72	191	304	191	139	6876	36	0	36	36	36	447.471	462.670	7.230	3.612	1.216	3.667	447.471	462.670	7.230	441	459	4	11	10	7
73	884	996	884	523	99008	112	0	112	112	112	432.139	467.053	7.827	6.765	2.510	6.612	432.139	467.053	7.827	426	455	4	17	23	8
74	1940	1366	1940	806	75660	39	0	39	39	39	522.909	473.834	7.066	8.100	2.413	8.270	522.915	473.835	7.066	510	465	4	27	18	8
75	411	488	411	260	45621	111	0	111	111	111	459.608	467.730	7.633	4.802	1.635	4.816	459.609	467.730	7.633	453	463	4	15	13	7
76	2313	1454	2313	951	263682	114	0	114	114	114	416.099	487.128	7.737	8.808	2.843	8.677	416.094	487.127	7.737	403	479	4	30	20	8
77	2098	1340	2098	826	241270	115	0	115	115	115	519.629	493.288	7.732	8.056	2.135	8.455	519.632	493.288	7.732	509	484	4	20	21	9
78	2704	1642	2704	1055	316368	117	0	117	117	117	434.627	499.224	7.838	9.099	2.671	9.465	434.625	499.226	7.838	423	484	4	22	30	8
79	840	768	840	452	35280	42	0	42	42	42	475.932	498.050	7.483	6.062	1.804	6.037	475.932	498.050	7.483	467	489	4	15	17	7
80	1715	1104	1715	637	204085	119	0	119	119	119	572.596	504.936	7.729	7.240	1.700	7.585	572.599	504.936	7.729	563	496	4	19	18	9
81	2052	1498	2052	985	88236	43	0	43	43	43	505.698	521.412	7.465	9.433	3.657	9.336	505.704	521.413	7.465	491	511	4	26	27	8
82	2199	1490	2199	957	263880	120	0	120	120	120	479.695	520.566	7.870	8.748	2.747	8.914	479.695	520.565	7.870	469	507	4	21	26	8
83	1098	916	1098	572	48312	44	0	44	44	44	521.988	525.181	7.567	6.994	2.563	6.740	521.988	525.181	7.567	517	511	4	13	27	7
84	985	760	985	480	121155	123	0	123	123	123	499.986	529.361	7.982	6.146	1.598	6.076	499.988	529.361	7.982	492	524	4	16	12	9
85	2032	1590	2032	972	254000	125	0	125	125	125	480.194	540.951	7.383	9.253	3.461	9.178	480.192	540.951	7.383	463	532	4	31	20	8
86	1875	1286	1875	835	91875	49	0	49	49	49	505.630	544.160	6.987	8.072	2.458	8.036	505.626	544.159	6.987	494	536	4	24	18	8
87	536	514	536	281	25192	47	0	47	47	47	523.593	540.985	7.243	4.820	1.036	4.655	523.593	540.985	7.243	518	534	4	10	15	8
88	1254	1022	1254	624	57684	46	0	46	46	46	534.874	541.118	7.826	7.403	2.765	7.198	534.874	541.118	7.826	527	534	4	25	19	8
89	909	760	909	433	115443	127	0	127	127	127	496.680	557.582	7.884	5.867	1.480	6.089	496.682	557.582	7.884	488	552	4	18	14	8
90	1334	1266	1334	695	66700	50	0	50	50	50	518.244	558.597	7.298	7.730	2.829	7.786	518.244	558.596	7.298	508	549	4	25	23	8
91	2781	1992	2781	1229	141831	51	0	51	51	51	657.833	564.761	7.501	10.631	4.314	9.881	657.838	564.761	7.501	646	552	4	32	32	9
92	1634	1200	1634	708	86602	53	0	53	53	53	533.722	567.463	7.665	7.481	2.163	7.878	533.718	567.464	7.665	524	558	4	20	21	8
93	1179	990	1179	545	154449	131	0	131	131	131	619.042	588.129	7.461	6.840	2.230	6.864	619.044	588.128	7.461	611	578	4	17	23	8
94	1036	808	1036	508	55944	54	0	54	54	54	629.184	598.327	7.105	6.254	1.696	6.466	629.185	598.327	7.105	622	589	4	15	17	8
95	2567	1866	2567	1131	356813	139	0	139	139	139	601.517	603.053	7.744	9.573	3.301	9.721	601.518	603.052	7.744	590	583	4	27	34	8
96	1687	1450	1687	858	231119	137	0	137	137	137	646.018	595.100	7.938	8.186	2.786	8.430	646.017	595.100	7.938	637	581	4	22	26	8
97	1376	1016	1376	631	77056	56	0	56	56	56	625.775	613.616	7.088	7.073	2.065	7.237	625.775	613.616	7.088	616	606	4	22	16	7
98	2570	1836	2570	1143	364940	142	0	142	142	142	647.607	617.431	7.742	9.559	3.212	9.671	647.610	617.433	7.742	633	605	4	32	26	9
99	2355	1644	2355	956	343830	146	0	146	146	146	690.706	625.778	7.718	9.330	3.408	8.881	690.702	625.778	7.718	676	614	4	33	21	9
100	2224	1590	2224	918	422560	190	0	190	190	190	695.324	637.604	8.248	9.524	3.992	8.592	695.326	637.605	8.248	677	624	4	36	24	10
101	1991	1390	1991	848	115478	58	0	58	58	58	713.017	647.862	7.420	8.092	2.376	8.454	713.009	647.862	7.420	702	637	4	22	24	8
102	1880	1324	1880	843	112800	60	0	60	60	60	807.122	652.340	6.953	8.279	2.791	8.208	807.129	652.340	6.953	793	642	4	29	21	7
103	1515	1078	1515	667	227250	150	0	150	150	150	759.390	646.986	7.714	7.330	2.135	7.271	759.394	646.987	7.714	748	639	4	23	18	8
104	1359	1060	1359	656	82899	61	0	61	61	61	767.218	656.668	7.085	7.689	2.799	7.421	767.214	656.668	7.085	753	645	4	24	21	7
105	1801	1488	1801	852	273752	152	0	152	152	152	742.278	669.604	7.582	8.453	2.895	8.436	742.285	669.605	7.582	732	655	4	23	30	8
106	3012	1836	3012	1272	189756	63	0	63	63	63	828.209	677.742	7.419	9.984	3.337	9.919	828.212	677.743	7.419	819	663	4	23	31	8
107	1102	856	1102	548	170810	155	0	155	155	155	810.045	694.489	7.742	6.754	2.256	6.347	810.047	694.490	7.742	798	690	4	24	10	8
108	346	404	346	204	56052	162	0	162	162	162	128.832	104.650	8.512	4.313	1.297	4.102	128.832	104.650	8.512	125	99	5	8	14	7
109	997	862	997	443	66799	67	0	67	67	67	111.950	120.132	7.863	6.254	1.768	6.134	111.950	120.132	7.863	103	111	5	18	18	8
110	2381	1422	2381	841	390484	164	0	164	164	164	141.806	134.329	8.942	8.213	2.042	8.732	141.806	134.329	8.942	131	124	5	22	22	9
111	2001	1354	2001	817	138069	69	0	69	69	69	161.557	142.346	8.459	8.017	2.285	8.419	161.555	142.346	8.459	152	132	5	20	22	8
112	1040	810	1040	448	171600	165	0	165	165	165	178.960	145.122	8.676	6.100	1.403	6.316	178.958	145.122	8.676	172	137	5	15	17	8
113	161	276	161	122	805	5	0	5	5	5	125.739	148.969	7.484	3.397	1.095	3.422	125.739	148.969	7.484	122	145	5	9	10	6
114	870	908	870	472	60900	70	0	70	70	70	151.257	163.282	8.483	6.271	2.317	6.277	151.257	163.282	8.483	143	156	5	22	16	7
115	1495	1032	1495	628	107640	72	0	72	72	72	194.166	169.105	7.860	6.996	1.847	7.380	194.166	169.105	7.860	185	161	5	19	16	7
116	764	840	764	432	5348	7	0	7	7	7	151.148	183.327	7.726	6.808	3.091	6.213	151.148	183.327	7.726	143	171	5	20	21	7
117	196	268	196	130	14504	74	0	74	74	74	107.622	181.423	8.066	3.364	0.882	3.363	107.622	181.423	8.066	103	177	5	10	8	6
118	1260	996	1260	558	97020	77	0	77	77	77	122.683	189.230	8.697	6.808	1.992	6.922	122.683	189.230	8.697	114	177	5	19	21	8
119	892	854	892	467	69576	78	0	78	78	78	137.963	198.263	7.964	6.598	2.337	6.433	137.963	198.263	7.964	131	192	5	19	19	8
120	440	508	440	264	73920	168	0	168	168	168	96.416	203.502	8.498	4.854	1.584	4.750	96.416	203.502	8.498	92	196	5	14	14	7
121	1720	1694	1720	937	290680	169	0	169	169	169	99.233	218.753	8.477	8.931	3.493	8.799	99.232	218.753	8.477	85	207	5	30	25	8
122	1613	1268	1613	722	274210	170	0	170	170	170	141.635	224.989	8.872	8.207	3.268	7.355	141.635	224.989	8.872	126	214	5	27	18	9
123	750	946	750	483	61500	82	0	82	82	82	231.656	229.759	8.428	6.471	2.631	6.436	231.656	229.759	8.428	222	220	5	25	19	7
124	1467	1260	1467	733	123228	84	0	84	84	84	264.621	249.688	8.208	8.973	3.591	9.119	264.621	249.688	8.208	252	236	5	25	28	7
